10ClassKind,10DepthInKind,icd10Code,icd10Chapter,icd10Title,11ClassKind,11DepthInKind,ICD-11 FoundationURI,Linearization (releaseURI),icd11Code,icd11Chapter,icd11Title,2020-09-15
chapter,1,I,I,Certain infectious and parasitic diseases,category,1,http://id.who.int/icd/entity/1435254666,http://id.who.int/icd/release/11/beta/mms/1435254666/unspecified,1H0Z,01,"Infection, unspecified",
block,1,A00-A09,I,Intestinal infectious diseases,block,1,http://id.who.int/icd/entity/588616678,http://id.who.int/icd/release/11/beta/mms/588616678,,01,Gastroenteritis or colitis of infectious origin,
category,1,A00,I,Cholera,category,1,http://id.who.int/icd/entity/257068234,http://id.who.int/icd/release/11/beta/mms/257068234,1A00,01,Cholera,
category,2,A00.0,I,"Cholera due to Vibrio cholerae 01, biovar cholerae",category,1,http://id.who.int/icd/entity/1205958647,http://id.who.int/icd/release/11/beta/mms/257068234,1A00&XN8P1,01,"Cholera / Vibrio cholera O1, biovar cholerae",
category,2,A00.1,I,"Cholera due to Vibrio cholerae 01, biovar eltor",category,1,http://id.who.int/icd/entity/581614179,http://id.who.int/icd/release/11/beta/mms/257068234,1A00&XN62R,01,"Cholera / Vibrio cholera O1, biovar eltor",
category,2,A00.9,I,"Cholera, unspecified",category,1,http://id.who.int/icd/entity/257068234,http://id.who.int/icd/release/11/beta/mms/257068234,1A00,01,Cholera,
category,1,A01,I,Typhoid and paratyphoid fevers,category,1,http://id.who.int/icd/entity/1561949126,http://id.who.int/icd/release/11/beta/mms/135352227/unspecified,1A0Z,01,"Bacterial intestinal infections, unspecified",
category,2,A01.0,I,Typhoid fever,category,2,http://id.who.int/icd/entity/1528414070,http://id.who.int/icd/release/11/beta/mms/1528414070/unspecified,1A07.Z,01,"Typhoid fever, unspecified",
category,2,A01.1,I,Paratyphoid fever A,category,1,http://id.who.int/icd/entity/1045590756,http://id.who.int/icd/release/11/beta/mms/1780040028,1A08,01,Paratyphoid fever,
category,2,A01.2,I,Paratyphoid fever B,category,1,http://id.who.int/icd/entity/1258234397,http://id.who.int/icd/release/11/beta/mms/1780040028,1A08,01,Paratyphoid fever,
