trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,to_remove_dups,similar_phenocode,score
phecode,8.5,both_sexes,,,Bacterial enteritis,,Bacterial enteritis,infectious diseases,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-008.5-both_sexes.tsv.bgz.tbi,3887,1905,1645,"AFR,CSA,EUR",3,89,,97,,3275,,6421,,8550,,407487,,0,,0.0745,,0.058813,,0.98754,,1.0239,,1.0303,,phecode-008.5-both_sexes.tsv.bgz,phecode-008.5-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-008.5-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-008.5-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-008.5-both_sexes.tsv.bgz.tbi,1599255060,2051517,60ae6b00c98ee0995a320d2e1b6ddd3b,b196fd5b07eb2bfb9bb0533e1f688ea6,PH_Bacterial_enteritis_h0.05881_n3887,A04.9,0,PH_Bacterial_enteritis_h0.05881,1.03,h2_z_insignificant,,0.0034,A01.0-A02-A02.0-A02.2-A02.8-A02.9-A03-A03.0-A03.1-A03.2-A03.3-A03.8-A03.9-A04.5-A04.6-A04.8-A04.9-A05.0-A05.1-A05.2-A05.3-A05.4-A05.8,0,Regional enteritis,76
icd10,A04,both_sexes,,,A04 Other bacterial intestinal infections,truncated: true,A04 Other bacterial intestinal infections,Chapter I Certain infectious and parasitic diseases | A00-A09 Intestinal infectious diseases | A04 Other bacterial intestinal infections,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A04-both_sexes.tsv.bgz.tbi,3657,1799,1544,"AFR,CSA,EUR",3,85,,85,,3088,,6551,,8791,,417443,,0,,0,,0.0649,,0.97071,,1.0135,,1.0219,,icd10-A04-both_sexes.tsv.bgz,icd10-A04-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A04-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A04-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A04-both_sexes.tsv.bgz.tbi,1591966801,2050346,daaa8b4998cb4d5e37b670ae78395a66,edd70954457f18a089e1dcd0a8139a11,IC_Other_bacterial_intestinal_infections_h0.06490_n3657,A04,0,IC_Other_bacterial_intestinal_infections_h0.06490,1.02,h2_z_insignificant,,0.0033,A04,0,Peritoneal or intestinal adhesions,59
phecode,8.52,both_sexes,,,Intestinal infection due to C. difficile,,Intestinal infection due to C. difficile,infectious diseases,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-008.52-both_sexes.tsv.bgz.tbi,957,452,443,EUR,1,,,,,858,,,,,,407487,,,,,,0.098847,,,,,,1.0262,,phecode-008.52-both_sexes.tsv.bgz,phecode-008.52-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-008.52-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-008.52-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-008.52-both_sexes.tsv.bgz.tbi,535802672,1751575,24c0c18d8219ef5a6c62b7d50d91a62f,875fa6545d2eee28ee6b9c28a64aecc3,PH_Intestinal_infection_due_to_C._difficile_h0.09885_n957,A04.7,0,PH_Intestinal_infection_due_to_Cdifficile_h0..09885,1.02,h2_z_insignificant,,0.0064,A04,1,A49 Bacterial infection of unspecified site,55
categorical,20002,both_sexes,1440,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",tuberculosis (tb),UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1440.tsv.bgz.tbi,2476,1352,1124,"CSA,EUR",2,,,117,,2046,,,,8732,,418427,,,,0.16992,,0.073878,,,,1.0196,,1.0358,,categorical-20002-both_sexes-1440.tsv.bgz,categorical-20002-both_sexes-1440.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1440.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1440.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1440.tsv.bgz.tbi,1098820619,1929054,42e2b29db2cc64e911f791bc5dfadd67,a8475c06c0bdf2347cae10af6717da7a,CA_tuberculosis_tb_h0.07388_n2476,A15.7,0,CA_tuberculosis_tb_h0.07388,1.02,h2_z_insignificant,,-0.0002,A15-A19,0,Diverticulosis,58
phecode,480.1,both_sexes,,,Bacterial pneumonia,,Bacterial pneumonia,respiratory,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-480.1-both_sexes.tsv.bgz.tbi,10696,4360,5580,"AFR,CSA,EUR",3,139,,196,,9453,,6423,,8556,,405999,,0.12648,,0.0164,,0.070622,,0.97317,,0.99281,,1.0468,,phecode-480.1-both_sexes.tsv.bgz,phecode-480.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-480.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-480.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-480.1-both_sexes.tsv.bgz.tbi,1651702323,2060275,3cce59f1903c556703de4bf497fbc916,93866e10fa880234afa4638b4ad5cb46,PH_Bacterial_pneumonia_h0.07062_n10696,J15.9,0,PH_Bacterial_pneumonia_h0.07062,1.06,h2_z_insignificant,,0.0042,A20.2-A21.2-A22.1-A31.0-A42.0-A43.0-A48.1-A78-B96.0-B96.1-J14-J15.0-J15.2-J15.3-J15.4-J15.5-J15.6-J15.7-J15.8-J15.9-J16.0,0,Bacterial enteritis,68
phecode,79,both_sexes,,,Viral infection,,Viral infection,infectious diseases,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-079-both_sexes.tsv.bgz.tbi,4005,2229,1450,"AFR,CSA,EUR",3,64,,96,,3474,,6480,,8694,,413496,,0.0736,,0.0297,,0.055128,,1.0069,,1.0124,,1.0432,,phecode-079-both_sexes.tsv.bgz,phecode-079-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-079-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-079-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-079-both_sexes.tsv.bgz.tbi,1584738926,2048450,c6853b673b56fcf3b66886dcbdc0769c,31f85f53f0911dd3f77abf64fe465acb,PH_Viral_infection_h0.05513_n4005,B34.9,0,PH_Viral_infection_h0.05513,1.05,h2_z_insignificant,,-1.22E-05,A28.1-A70-A74-A74.8-A74.9-A82-A82.0-A82.1-A82.9-A88.1-A90-A91-A92-A92.0-A92.1-A92.3-A92.4-A92.8-A92.9-A93-A93.0-A93.1-A93.2-A93.8-A94-A95-A95.0-A95.1-A95.9-A96-A96.0-A96.1-A96.2-A96.8-A96.9-A98-A98.0-A98.1-A98.2-A98.3-A98.4-A98.5-A98.8-A99-B00.8-B03-B04-B05-B05.1-B05.4-B05.8-B05.9-B06-B06.0-B06.8-B06.9-B08.0-B08.1-B08.3-B08.4-B08.5-B08.8-B09-B20.2-B23.0-B25-B25.2-B25.8-B25.9-B26-B26.0-B26.3-B26.8-B26.9-B33.0-B33.1-B33.3-B33.8-B34-B34.0-B34.1-B34.2-B34.3-B34.4-B34.8-B34.9-B97.0-B97.1-B97.3-B97.4-B97.5-B97.6-B97.7-B97.8-H81.2-J20.3-J20.4-J20.5-J20.6-J20.7-K67.0-L44.4,0,Myocardial infarction,67
categorical,20002,both_sexes,1677,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",scarlet fever / scarlatina,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1677.tsv.bgz.tbi,528,273,255,EUR,1,,,,,500,,,,,,419973,,,,,,0.17472,,,,,,1.0105,,categorical-20002-both_sexes-1677.tsv.bgz,categorical-20002-both_sexes-1677.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1677.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1677.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1677.tsv.bgz.tbi,529231317,1751398,61d0ec12267b4826aded743b1ed55b20,045b8905312b86affc22c9e83161f72d,CA_Medical_conditions_h0.17472_n528,A38.9,0,CA_scarlet_fever_scarlatina_h0.17472,1.01,h2_z_insignificant,,-0.0018,A38,0,atrial fibrillation,49
phecode,420,both_sexes,,,Carditis,,Carditis,circulatory system,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-420-both_sexes.tsv.bgz.tbi,3070,1115,1727,"AFR,CSA,EUR",3,71,,65,,2666,,6532,,8788,,416313,,0.10552,,0.11062,,0.066654,,0.98637,,1.0152,,1.0433,,phecode-420-both_sexes.tsv.bgz,phecode-420-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-420-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-420-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-420-both_sexes.tsv.bgz.tbi,1577964579,2048277,f3f48f4d57b5c5f727cab2aaa6a5043e,2e5b8633e25a11ce779b16188fd3be5b,PH_Carditis_h0.06665_n3070,B33.20,0,PH_Carditis_h0.06665,1.04,h2_z_insignificant,,-5.89E-05,A39.5-B33.2,0,Pericarditis,70
phecode,38.1,both_sexes,,,Gram negative septicemia,,Gram negative septicemia,infectious diseases,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-038.1-both_sexes.tsv.bgz.tbi,1431,563,772,EUR,1,,,,,1263,,,,,,401597,,,,,,0.075251,,,,,,1.0146,,phecode-038.1-both_sexes.tsv.bgz,phecode-038.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-038.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-038.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-038.1-both_sexes.tsv.bgz.tbi,539395968,1751745,644e9a6ea9cadc073b362359c785686e,0c3698557971e89c4383ba43be0233e5,PH_Gram_negative_septicemia_h0.07525_n1431,A41.50,0,PH_Gram_negative_septicemia_h0.07525,1.01,h2_z_insignificant,,-0.0005,A40-A41.5_A02.1_A20.7_A39.2-A39.4,0,Gram positive septicemia,83
phecode,38.2,both_sexes,,,Gram positive septicemia,,Gram positive septicemia,infectious diseases,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-038.2-both_sexes.tsv.bgz.tbi,718,255,410,EUR,1,,,,,624,,,,,,401597,,,,,,0.16674,,,,,,1.0212,,phecode-038.2-both_sexes.tsv.bgz,phecode-038.2-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-038.2-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-038.2-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-038.2-both_sexes.tsv.bgz.tbi,532779242,1751468,a17f77447300de139759375ae19c925c,4bb7e046fcd48530dff29e9372233ba8,PH_Gram_positive_septicemia_h0.16674_n718,A41.50,0,PH_Gram_positive_septicemia_h0.16674,0.984,h2_z_insignificant,,0.0009,A41,0,Gram negative septicemia,83
