trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,to_remove_dups
categorical,20002,both_sexes,1222,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",type 1 diabetes,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1222.tsv.bgz.tbi,420,214,206,EUR,1,,,,,363,,,,,,420110,,,,,,0.14695,,,,,,1.0105,,categorical-20002-both_sexes-1222.tsv.bgz,categorical-20002-both_sexes-1222.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1222.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1222.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1222.tsv.bgz.tbi,526013326,1751021,88314aebe6cc1b6ab2ccc007b9a91d66,93d6027a332a43937f72b72b57089a91,CA_Medical_conditions_h0.14695_n420,E10.618,0,CA_type_1_diabetes_h0.14695,1.02,h2_z_insignificant,,0.0019,E10,0
categorical,20002,both_sexes,1223,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",type 2 diabetes,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1223.tsv.bgz.tbi,3260,1293,1967,"AFR,CSA,EUR",3,80,,155,,2698,,6544,,8694,,417775,,0.16494,,0.0964,,0.15122,,0.99192,,0.99125,,1.0602,,categorical-20002-both_sexes-1223.tsv.bgz,categorical-20002-both_sexes-1223.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1223.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1223.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1223.tsv.bgz.tbi,1591986851,2049682,6032cf5f399dec52511a7ca59d94cb45,85eb37b8f90d805ceacffac31bac6662,CA_type_2_diabetes_h0.15122_n3260,E11.618,0,CA_type_2_diabetes_h0.15122,1.03,PASS,"AFR,EUR",0.0104,E11,0
categorical,20001,both_sexes,1061,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",basal cell carcinoma,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1061.tsv.bgz.tbi,4278,2551,1727,EUR,1,,,,,3947,,,,,,416526,,,,,,0.11939,,,,,,1.0376,,categorical-20001-both_sexes-1061.tsv.bgz,categorical-20001-both_sexes-1061.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1061.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1061.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1061.tsv.bgz.tbi,545811542,1752008,a3531dfbfc0b07114783e96d2e23e7b7,4dd3ac36fa2266dd88fbc99356aa17db,CA_Medical_conditions_h0.11939_n4278,C44.91,0,CA_basal_cell_carcinoma_h0.11939,1.06,not_EUR_plus_1,,0.0096,C44,1
categorical,20001,both_sexes,1062,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",squamous cell carcinoma,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1062.tsv.bgz.tbi,564,286,278,EUR,1,,,,,510,,,,,,419963,,,,,,0.085298,,,,,,1.025,,categorical-20001-both_sexes-1062.tsv.bgz,categorical-20001-both_sexes-1062.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1062.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1062.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1062.tsv.bgz.tbi,530364931,1751128,fb46fbd912155ce24b3959c106ac2209,c41bf2442d71985dd1249a018ff1b547,CA_Medical_conditions_h0.08530_n564,C44.321,0,CA_squamous_cell_carcinoma_h0.08530,1.01,h2_z_insignificant,,0.0024,C44,0
categorical,20002,both_sexes,1201,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",bladder problem (not cancer),UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1201.tsv.bgz.tbi,2857,1971,886,EUR,1,,,,,2542,,,,,,417931,,,,,,0.067049,,,,,,1.0307,,categorical-20002-both_sexes-1201.tsv.bgz,categorical-20002-both_sexes-1201.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1201.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1201.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1201.tsv.bgz.tbi,544083400,1751957,99045c2c7f3750b7c28c014d11cd5d9b,3298d240f4aae39205d0b2ef2a212eaf,CA_Medical_conditions_h0.06705_n2857,D09.0,0,CA_bladder_problem_not_cancer_h0.06705,1.05,h2_z_insignificant,,0.0035,N39,0
categorical,20002,both_sexes,1224,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",thyroid problem (not cancer),UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1224.tsv.bgz.tbi,1268,1072,196,EUR,1,,,,,1082,,,,,,419391,,,,,,0.13228,,,,,,1.0014,,categorical-20002-both_sexes-1224.tsv.bgz,categorical-20002-both_sexes-1224.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1224.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1224.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1224.tsv.bgz.tbi,538315244,1751679,7ef1774b08f4ee4278ed486aa459a8d6,c2d70374412ee5fc9f706bf29b56c3a0,CA_Medical_conditions_h0.13228_n1268,C73,0,CA_thyroid_problem_not_cancer_h0.13228,0.983,h2_z_insignificant,,-0.0007,E07,0
categorical,20002,both_sexes,1262,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",parkinsons disease,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1262.tsv.bgz.tbi,822,303,519,EUR,1,,,,,745,,,,,,419728,,,,,,0.12916,,,,,,0.99926,,categorical-20002-both_sexes-1262.tsv.bgz,categorical-20002-both_sexes-1262.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1262.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1262.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1262.tsv.bgz.tbi,533686381,1751775,d051f33659431fe609c9512d462e9de9,73539beda2c465ccdd7262fc667989ca,CA_Medical_conditions_h0.12916_n822,G20,0,CA_parkinsons_disease_h0.12916,1.04,h2_z_insignificant,,-0.001,G20,0
categorical,20002,both_sexes,1462,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",crohns disease,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1462.tsv.bgz.tbi,1431,826,605,EUR,1,,,,,1275,,,,,,419198,,,,,,0.23849,,,,,,1.0302,,categorical-20002-both_sexes-1462.tsv.bgz,categorical-20002-both_sexes-1462.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1462.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1462.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1462.tsv.bgz.tbi,539351382,1751991,b93a50b50c93d211074c538bb8d72f7b,79ff1f8a4d3a586421a063f7fee2a23e,CA_Medical_conditions_h0.23849_n1431,K50.919,0,CA_crohns_disease_h0.23849,1.05,h2_z_insignificant,,0.0047,K50,0
categorical,20002,both_sexes,1065,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",hypertension,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1065.tsv.bgz.tbi,126196,60057,66139,"AFR,AMR,CSA,EAS,EUR,MID",6,2519,203,2564,563,109307,374,4105,777,6285,2144,311166,1221,0.0123,0.0469,0.0253,0.0558,0.079513,0.0244,1.027,0.95722,1.0043,0.98405,1.3745,0.97102,categorical-20002-both_sexes-1065.tsv.bgz,categorical-20002-both_sexes-1065.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1065.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1065.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1065.tsv.bgz.tbi,2428746329,2257042,2078a3e60b2f4321df2b2e485fd4a284,4d807e29a633d6878ef39ad30ddf2ef1,CA_hypertension_h0.07951_n126196,I97.3,0,CA_hypertension_h0.07951,1.32,PASS,"CSA,EUR",0.125,I10,1
categorical,20002,both_sexes,1072,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",essential hypertension,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1072.tsv.bgz.tbi,2286,1185,1101,"AFR,CSA,EUR",3,60,,92,,1897,,6564,,8757,,418576,,0.078,,0.20025,,0.059811,,0.99893,,0.9911,,1.0391,,categorical-20002-both_sexes-1072.tsv.bgz,categorical-20002-both_sexes-1072.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1072.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1072.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1072.tsv.bgz.tbi,1562394622,2044658,f468a3c182cc191337b80eb24c5898ec,c480fbfcf23610bbc479c56b96020bc5,CA_essential_hypertension_h0.05981_n2286,I10,0,CA_essential_hypertension_h0.05981,1.03,h2_z_insignificant,,0.0002,I10,0
