trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,similar_BNF_product_description,score,to_remove_dups,DM+D: Product Description,BNF Code,SNOMED Code,AB_PRESUMED.DIAGNOSIS
prescriptions,selective estrogen receptor modulator|SERM,both_sexes,,,,,selective estrogen receptor modulator|SERM,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-selective_estrogen_receptor_modulator|SERM-both_sexes.tsv.bgz.tbi,3239,2792,63,EUR,1,,,,,2743,,,,,,417788,,,,,,0.067237,,,,,,1.0637,,prescriptions-selective_estrogen_receptor_modulator|SERM-both_sexes.tsv.bgz,prescriptions-selective_estrogen_receptor_modulator|SERM-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-selective_estrogen_receptor_modulator|SERM-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-selective_estrogen_receptor_modulator|SERM-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-selective_estrogen_receptor_modulator|SERM-both_sexes.tsv.bgz.tbi,544110820,1751972,b0611f0baae4700550e78f0c9bb12e0a,2125bc2dd5fc5d7d10cdde17ea4e184c,PR_selective_estrogen_receptor_modulator_SERM_h0.06724_n3239,Z79.810,0,PR_selective_estrogen_receptor_modulator_SERM_h0.06724,1.04,h2_z_insignificant,,0.0054,C50,Adhesive ileostomy bag (Mentor Medical Ltd),45,1,Adhesive ileostomy bag (Mentor Medical Ltd),23605856129,6.79E+15,breast cancer
prescriptions,tamoxifen,both_sexes,,,,,tamoxifen,"selective estrogen receptor modulator,SERM",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-tamoxifen-both_sexes.tsv.bgz.tbi,2749,2352,62,EUR,1,,,,,2328,,,,,,418203,,,,,,0.094687,,,,,,1.0352,,prescriptions-tamoxifen-both_sexes.tsv.bgz,prescriptions-tamoxifen-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-tamoxifen-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-tamoxifen-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-tamoxifen-both_sexes.tsv.bgz.tbi,543549160,1751976,2c0c43873f950e4a7d0d810d9503309b,0dfc90191257635788ef5b04bd3455d3,PR_tamoxifen_h0.09469_n2749,T38.6X1A,0,PR_tamoxifen_h0.09469_I50_K74,1.05,h2_z_insignificant,,0.0065,C50,Titanium ointment,54,0,Titanium ointment,130202000AAAZAZ,3.06E+15,breast cancer
categorical,20003,both_sexes,1141173348,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,hydroxocobalamin,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141173348.tsv.bgz.tbi,392,237,155,EUR,1,,,,,351,,,,,,420122,,,,,,0.098957,,,,,,1.0062,,categorical-20003-both_sexes-1141173348.tsv.bgz,categorical-20003-both_sexes-1141173348.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141173348.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141173348.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141173348.tsv.bgz.tbi,525751782,1751449,cba1069eb68776ea1d06079296ebe52f,ec1e080e5b8aef7ccd4474f36d580c3a,CA_Medications_h0.09896_n392,M11.0,0,CA_PR_hydroxocobalamin_h0.09896,0.978,h2_z_insignificant,,0.0023,D52_D51_F10,Hydroxocobalamin 2mg/5ml oral solution,56,0,Hydroxocobalamin 2mg/5ml oral solution,0901020N0AAAHAH,1.26E+16,Macrocytic anaemia/Pernicious anaemia/Alcoholism
categorical,20003,both_sexes,1141191044,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,levothyroxine sodium,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141191044.tsv.bgz.tbi,19631,16298,3333,"AFR,CSA,EAS,EUR",4,131,,441,65,17238,,6493,,8408,2642,403235,,0.0204,,0.0427,0.1209,0.11053,,1.0035,,1.0349,1.0134,1.1101,,categorical-20003-both_sexes-1141191044.tsv.bgz,categorical-20003-both_sexes-1141191044.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141191044.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141191044.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141191044.tsv.bgz.tbi,1877459548,2126173,7354a7aa894a03913aed51258e01482f,08d33d87f170d8d9ef105f42ee15e3dc,CA_PR_levothyroxine_sodium_h0.11053_n19631,P74.2,0,CA_PR_levothyroxine_sodium_h0.11053,1.11,PASS,"CSA,EUR",0.0409,E03,Levothyroxine sodium 25microgram tablets,63,1,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW,1.98E+16,
categorical,20003,both_sexes,1140874852,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,thyroxine sodium,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874852.tsv.bgz.tbi,1323,1120,203,EUR,1,,,,,1152,,,,,,419321,,,,,,0.17527,,,,,,1.0285,,categorical-20003-both_sexes-1140874852.tsv.bgz,categorical-20003-both_sexes-1140874852.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874852.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140874852.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140874852.tsv.bgz.tbi,538732229,1751834,256797a572d3a6665728942ffd60c278,883e0e83b4ef8a916a3b257f3c206cb4,CA_Medications_h0.17527_n1323,P74.2,0,CA_PR_thyroxine_sodium_h0.17527,1.06,h2_z_insignificant,,-0.0017,E03,Tyrosine powder,58,0,Tyrosine powder,0913213A0AAAGAG,1.75E+16,Hypothyroidism
prescriptions,carbimazole,both_sexes,,,,,carbimazole,"methimazole pro-drug,thyroperoxidase inhibitor,methimazole,anti-thyroid",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-carbimazole-both_sexes.tsv.bgz.tbi,1184,801,244,EUR,1,,,,,966,,,,,,419565,,,,,,0.13762,,,,,,1.007,,prescriptions-carbimazole-both_sexes.tsv.bgz,prescriptions-carbimazole-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-carbimazole-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-carbimazole-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-carbimazole-both_sexes.tsv.bgz.tbi,536895976,1751676,57948070ca432c248a2647c5fd509910,216f34fb2d9abf49f54a7ec740819b8b,PR_carbimazole_h0.13762_n1184,,0,PR_carbimazole_h0.13762,1.02,h2_z_insignificant,,0.0071,E05,Carbimazole 5mg tablets,59,1,Carbimazole 5mg tablets,0602020D0AAAAAA,1.14E+15,Hyperthyroidism
prescriptions,methimazole pro-drug|thyroperoxidase inhibitor|methimazole|anti-thyroid,both_sexes,,,,,methimazole pro-drug|thyroperoxidase inhibitor|methimazole|anti-thyroid,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-methimazole_pro-drug|thyroperoxidase_inhibitor|methimazole|anti-thyroid-both_sexes.tsv.bgz.tbi,1184,801,244,EUR,1,,,,,966,,,,,,419565,,,,,,0.13762,,,,,,1.024,,prescriptions-methimazole_pro-drug|thyroperoxidase_inhibitor|methimazole|anti-thyroid-both_sexes.tsv.bgz,prescriptions-methimazole_pro-drug|thyroperoxidase_inhibitor|methimazole|anti-thyroid-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-methimazole_pro-drug|thyroperoxidase_inhibitor|methimazole|anti-thyroid-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-methimazole_pro-drug|thyroperoxidase_inhibitor|methimazole|anti-thyroid-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-methimazole_pro-drug|thyroperoxidase_inhibitor|methimazole|anti-thyroid-both_sexes.tsv.bgz.tbi,537022138,1751726,ef1a5bafab33cf13a8c7024b3318b2d7,7e38e054c0b4d903e0acf6f7134b950e,PR_methimazole_pro-drug_thyroperoxidase_inhibitor_methimazole_anti-thyroid_h0.13762_n1184,,0,PR_methimazole_pro_drug_thyroperoxidase_inhibitor_methimazole_anti_thyroid_h0.13762_K51,1.03,h2_z_insignificant,,0.0071,E05,Dexamethasone 700microgram intravitreal implant with device,45,0,Dexamethasone 700microgram intravitreal implant with device,,1.77E+16,Hyperthyroidism
categorical,20003,both_sexes,1141152590,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,glimepiride,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141152590.tsv.bgz.tbi,452,149,303,EUR,1,,,,,355,,,,,,420118,,,,,,0.071252,,,,,,1.0043,,categorical-20003-both_sexes-1141152590.tsv.bgz,categorical-20003-both_sexes-1141152590.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141152590.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141152590.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141152590.tsv.bgz.tbi,525920349,1751226,5af4443871cf31f1cdd778ea9a85f4be,4929a4c387c5cf3797cd88e02f7c1ffa,CA_Medications_h0.07125_n452,,0,CA_PR_glimepiride_h0.07125,0.994,h2_z_insignificant,,-0.0021,E11,Glimepiride 1mg tablets,59,1,Glimepiride 1mg tablets,0601021A0AAABAB,5.52E+15,T2DM
prescriptions,glimepiride,both_sexes,,,,,glimepiride,"sulfonylurea,diabetes",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-glimepiride-both_sexes.tsv.bgz.tbi,378,132,201,EUR,1,,,,,288,,,,,,420243,,,,,,0.30059,,,,,,0.99238,,prescriptions-glimepiride-both_sexes.tsv.bgz,prescriptions-glimepiride-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-glimepiride-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-glimepiride-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-glimepiride-both_sexes.tsv.bgz.tbi,523148663,1751192,420ad66e229a70604c6a679dc0892664,b5dafd81e2a4284f9aceeaf650b8e084,PR_glimepiride_h0.30059_n378,,0,PR_glimepiride_h0.30059,1.01,h2_z_insignificant,,0.0005,E11,Glimepiride 1mg tablets,59,1,Glimepiride 1mg tablets,0601021A0AAABAB,5.52E+15,T2DM
categorical,20003,both_sexes,1141177600,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,rosiglitazone,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141177600.tsv.bgz.tbi,727,247,480,EUR,1,,,,,590,,,,,,419883,,,,,,0.22354,,,,,,1.0203,,categorical-20003-both_sexes-1141177600.tsv.bgz,categorical-20003-both_sexes-1141177600.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141177600.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141177600.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141177600.tsv.bgz.tbi,532143795,1751421,cd2378769fdf3ff5f75576d7be657e0d,7f7024b211c5084b3b99423b9753463d,CA_Medications_h0.22354_n727,,0,CA_PR_rosiglitazone_h0.22354,0.998,h2_z_insignificant,,0.0052,E11,Rosiglitazone 4mg tablets,63,1,Rosiglitazone 4mg tablets,0601023S0AAAAAA,1.05E+16,T2DM
