trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,similar_phenocode,score,to_remove_dups
categorical,20004,both_sexes,1069,,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",heart surgery,UK Biobank Assessment Centre > Verbal interview > Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1069.tsv.bgz.tbi,955,423,532,EUR,1,,,,,854,,,,,,419619,,,,,,0.10695,,,,,,1.0141,,categorical-20004-both_sexes-1069.tsv.bgz,categorical-20004-both_sexes-1069.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1069.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1069.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1069.tsv.bgz.tbi,535797883,1751750,0dc43e5af845e981000c0a771857ac9a,c92edde7aa50b9a04dd5d516cb7748f6,CA_Operations_h0.10695_n955,I97.130,0,CA_heart_surgery_h0.10695,0.986,h2_z_insignificant,,-0.0012,not_found,ear surgery,92,0
categorical,20004,both_sexes,1070,,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",coronary angioplasty (ptca) +/- stent,UK Biobank Assessment Centre > Verbal interview > Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1070.tsv.bgz.tbi,5076,887,4189,"CSA,EUR",2,,,199,,4378,,,,8650,,416095,,,,0.0726,,0.097865,,,,1.0022,,1.0529,,categorical-20004-both_sexes-1070.tsv.bgz,categorical-20004-both_sexes-1070.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1070.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1070.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1070.tsv.bgz.tbi,1134626268,1935562,c9c57f7d000760456e170a55856088e6,bd4c39cf91f91685bf9b7364ed46f0ff,CA_coronary_angioplasty_ptca__stent_h0.09786_n5076,Z98.61,0,CA_coronary_angioplasty_ptca_stent_h0.09786,1.04,not_EUR_plus_1,,0.0096,not_found,coronary angiogram,55,0
categorical,20004,both_sexes,1095,,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",coronary artery bypass grafts (cabg),UK Biobank Assessment Centre > Verbal interview > Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1095.tsv.bgz.tbi,3667,423,3244,"CSA,EUR",2,,,127,,3218,,,,8722,,417255,,,,0.037,,0.11033,,,,1.038,,1.064,,categorical-20004-both_sexes-1095.tsv.bgz,categorical-20004-both_sexes-1095.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1095.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1095.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1095.tsv.bgz.tbi,1117061131,1932591,9acc6e6004fba883110ece40cfb0060a,05754c89bcd65c1d2184a2894d8d643f,CA_coronary_artery_bypass_grafts_cabg_h0.11033_n3667,T82.212A,0,CA_coronary_artery_bypass_grafts_cabg_h0.11033,1.05,PASS,"CSA,EUR",0.0101,not_found,K63.6 Coronary arteriography NEC,50,0
categorical,20004,both_sexes,1099,,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",aortic valve repair/replacement,UK Biobank Assessment Centre > Verbal interview > Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1099.tsv.bgz.tbi,718,201,517,EUR,1,,,,,629,,,,,,419844,,,,,,0.070095,,,,,,0.99674,,categorical-20004-both_sexes-1099.tsv.bgz,categorical-20004-both_sexes-1099.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1099.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1099.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1099.tsv.bgz.tbi,532879436,1751424,7c41e2696227033c9e0731454e4b38d1,2b7a57de25c34e67170c6c427bf12d46,CA_Operations_h0.07010_n718,Z95.4,0,CA_aortic_valve_repair_replacement_h0.07010,1.02,h2_z_insignificant,,-0.0019,not_found,hip replacement/revision,47,0
categorical,20004,both_sexes,1118,,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",ent surgery,UK Biobank Assessment Centre > Verbal interview > Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1118.tsv.bgz.tbi,363,171,192,EUR,1,,,,,318,,,,,,420155,,,,,,0.10306,,,,,,0.95989,,categorical-20004-both_sexes-1118.tsv.bgz,categorical-20004-both_sexes-1118.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1118.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1118.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1118.tsv.bgz.tbi,524440626,1750628,bbdb4dd42dac82057b372a754194eb97,71cf5d7b0f03725fd66cb8efcf61539a,CA_Operations_h0.10306_n363,K91.0,0,CA_ent_surgery_h0.10306,0.976,h2_z_insignificant,,-0.001,not_found,heart surgery,83,0
categorical,20004,both_sexes,1127,,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",ear surgery,UK Biobank Assessment Centre > Verbal interview > Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1127.tsv.bgz.tbi,7655,3874,3781,"CSA,EUR",2,,,98,,6891,,,,8751,,413582,,,,0.14493,,0.090172,,,,1.0049,,1.0309,,categorical-20004-both_sexes-1127.tsv.bgz,categorical-20004-both_sexes-1127.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1127.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1127.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1127.tsv.bgz.tbi,1141571913,1938773,64f1e589d53b72db9ce0544fa99d725c,b6b5bc7d256b48f7461719c3598c8441,CA_ear_surgery_h0.09017_n7655,H95.811,0,CA_ear_surgery_h0.09017,1.08,h2_z_insignificant,,0.0054,not_found,heart surgery,92,0
categorical,20004,both_sexes,1195,,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",renal/kidney transplant,UK Biobank Assessment Centre > Verbal interview > Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1195.tsv.bgz.tbi,333,122,211,EUR,1,,,,,277,,,,,,420196,,,,,,0.070244,,,,,,0.99595,,categorical-20004-both_sexes-1195.tsv.bgz,categorical-20004-both_sexes-1195.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1195.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1195.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1195.tsv.bgz.tbi,522794881,1751096,6a9cb2d33014f38ba22dc6a3203ae2f3,da326967eece09696b492be8858b5cfe,CA_Operations_h0.07024_n333,Z94.0,0,CA_renal_kidney_transplant_h0.07024,0.992,h2_z_insignificant,,0.0045,not_found,cataract extraction/lens implant,44,0
categorical,20004,both_sexes,1197,,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",percutaneous/open kidney stone surgery/lithotripsy,UK Biobank Assessment Centre > Verbal interview > Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1197.tsv.bgz.tbi,2747,862,1885,"CSA,EUR",2,,,61,,2398,,,,8788,,418075,,,,0.0582,,0.12895,,,,0.99696,,1.0548,,categorical-20004-both_sexes-1197.tsv.bgz,categorical-20004-both_sexes-1197.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1197.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1197.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1197.tsv.bgz.tbi,1095471272,1929008,2ae961bd69a05d6ddd067fa771a5c610,4a18906168d067c8cabdf6004bcc8acb,CA_percutaneous_open_kidney_stone_surgery_lithotripsy_h0.12895_n2747,N20.0,0,CA_percutaneous_open_kidney_stone_surgery_lithotripsy_h0.12895,1.04,h2_z_insignificant,,0.0078,not_found,adenoid surgery / adenoidectomy,44,0
categorical,20004,both_sexes,1229,,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",parathyroidectomy,UK Biobank Assessment Centre > Verbal interview > Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1229.tsv.bgz.tbi,669,512,157,EUR,1,,,,,581,,,,,,419892,,,,,,0.072988,,,,,,0.97971,,categorical-20004-both_sexes-1229.tsv.bgz,categorical-20004-both_sexes-1229.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1229.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1229.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1229.tsv.bgz.tbi,532126556,1751775,dff501aa39d65b624b2a5f772cd17878,34a45ac59e491a811c9e6b54b728d4c1,CA_Operations_h0.07299_n669,D35.1,0,CA_parathyroidectomy_h0.07299,1.01,h2_z_insignificant,,-0.0009,not_found,B08.1 Total thyroidectomy,67,0
categorical,20004,both_sexes,1318,,Operation code,"Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",hip replacement/revision,UK Biobank Assessment Centre > Verbal interview > Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1318.tsv.bgz.tbi,7379,4099,3280,EUR,1,,,,,6763,,,,,,413710,,,,,,0.08909,,,,,,1.024,,categorical-20004-both_sexes-1318.tsv.bgz,categorical-20004-both_sexes-1318.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1318.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1318.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20004-both_sexes-1318.tsv.bgz.tbi,547252887,1751876,bb8d70cbe31f8449671adfed4264e8a3,29f4b3f4545da5c8fd3bbb4ad75a587f,CA_Operations_h0.08909_n7379,Z96.642,0,CA_hip_replacement_revision_h0.08909,1.05,not_EUR_plus_1,,0.0125,not_found,knee replacement/revision,86,0
