trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,to_remove_dups
icd10,A04,both_sexes,,,A04 Other bacterial intestinal infections,truncated: true,,Chapter I Certain infectious and parasitic diseases | A00-A09 Intestinal infectious diseases | A04 Other bacterial intestinal infections,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A04-both_sexes.tsv.bgz.tbi,3657.0,1799.0,1544.0,"AFR,CSA,EUR",3.0,85.0,,85.0,,3088.0,,6551.0,,8791.0,,417443.0,,0.0,,0.0,,0.0649,,0.97071,,1.0135,,1.0219,,icd10-A04-both_sexes.tsv.bgz,icd10-A04-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A04-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A04-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A04-both_sexes.tsv.bgz.tbi,1591966801.0,2050346.0,daaa8b4998cb4d5e37b670ae78395a66,edd70954457f18a089e1dcd0a8139a11,IC_Other_bacterial_intestinal_infections_h0.06490_n3657,A04,0,IC_Other_bacterial_intestinal_infections_h0.06490,1.02,h2_z_insignificant,,0.0033,A04,0
icd10,A49,both_sexes,,,A49 Bacterial infection of unspecified site,truncated: true,,Chapter I Certain infectious and parasitic diseases | A30-A49 Other bacterial diseases | A49 Bacterial infection of unspecified site,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A49-both_sexes.tsv.bgz.tbi,1107.0,441.0,585.0,EUR,1.0,,,,,966.0,,,,,,419565.0,,,,,,0.11473,,,,,,1.0035,,icd10-A49-both_sexes.tsv.bgz,icd10-A49-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A49-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A49-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A49-both_sexes.tsv.bgz.tbi,536671387.0,1751923.0,e3b2f76dd860082bc049be2cca15a8a4,afcf4b1e309018aa4266fc9847030542,IC_Bacterial_infection_of_unspecified_site_h0.11473_n1107,A49,0,IC_Bacterial_infection_of_unspecified_site_h0.11473,0.996,h2_z_insignificant,,0.0035,A49,0
icd10,B00,both_sexes,,,B00 Herpesviral [herpes simplex] infections,truncated: true,,Chapter I Certain infectious and parasitic diseases | B00-B09 Viral infections characterized by skin and mucous membrane lesions | B00 Herpesviral [herpes simplex] infections,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B00-both_sexes.tsv.bgz.tbi,399.0,197.0,173.0,EUR,1.0,,,,,355.0,,,,,,420176.0,,,,,,0.13719,,,,,,0.99946,,icd10-B00-both_sexes.tsv.bgz,icd10-B00-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B00-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B00-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B00-both_sexes.tsv.bgz.tbi,525669989.0,1751106.0,a48ca4264e9d0430c98b6d2c490fb2da,3a84a69fe052c093a4bccf04ac6b5d15,IC_Herpesviral_[herpes_simplex]_infections_h0.13719_n399,B00,0,IC_Herpesviral_herpes_simplex_infections_h0.13719,0.984,h2_z_insignificant,,0.0032,B00,0
icd10,B02,both_sexes,,,B02 Zoster [herpes zoster],truncated: true,,Chapter I Certain infectious and parasitic diseases | B00-B09 Viral infections characterized by skin and mucous membrane lesions | B02 Zoster [herpes zoster],https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B02-both_sexes.tsv.bgz.tbi,729.0,349.0,336.0,EUR,1.0,,,,,648.0,,,,,,419883.0,,,,,,0.12765,,,,,,1.0221,,icd10-B02-both_sexes.tsv.bgz,icd10-B02-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B02-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B02-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B02-both_sexes.tsv.bgz.tbi,533501391.0,1751475.0,4a01feaca7cf0e4a8b27df2f187c4ff8,1727d3bd6c80f5847fd52567fb2ccdf9,IC_Zoster_[herpes_zoster]_h0.12765_n729,B02,0,IC_Zoster_herpes_zoster_h0.12765,1.01,h2_z_insignificant,,0.0051,B02,0
icd10,B35,both_sexes,,,B35 Dermatophytosis,truncated: true,,Chapter I Certain infectious and parasitic diseases | B35-B49 Mycoses | B35 Dermatophytosis,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B35-both_sexes.tsv.bgz.tbi,356.0,109.0,224.0,EUR,1.0,,,,,309.0,,,,,,420222.0,,,,,,0.11636,,,,,,0.95971,,icd10-B35-both_sexes.tsv.bgz,icd10-B35-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B35-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B35-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B35-both_sexes.tsv.bgz.tbi,524142056.0,1751324.0,9b54a5b3e97a4e071f27ad22e2eb0449,bdf6f37300524af39e7613fe61a39041,IC_Dermatophytosis_h0.11636_n356,B35,0,IC_Dermatophytosis_h0.11636,1.0,h2_z_insignificant,,5.27e-05,B35,0
icd10,B37,both_sexes,,,B37 Candidiasis,truncated: true,,Chapter I Certain infectious and parasitic diseases | B35-B49 Mycoses | B37 Candidiasis,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B37-both_sexes.tsv.bgz.tbi,3489.0,1828.0,1408.0,"AFR,CSA,EUR",3.0,60.0,,63.0,,3055.0,,6576.0,,8813.0,,417476.0,,0.15925,,0.0566,,0.080776,,0.98723,,0.98961,,1.0196,,icd10-B37-both_sexes.tsv.bgz,icd10-B37-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B37-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B37-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B37-both_sexes.tsv.bgz.tbi,1573268756.0,2047093.0,caeefa77412c1938dcff42c5c8028124,a136022aa6b894b1fe52b3f347db3f64,IC_Candidiasis_h0.08078_n3489,B37,0,IC_Candidiasis_h0.08078,1.02,h2_z_insignificant,,0.0009,B37,0
icd10,B95,both_sexes,,,B95 Streptococcus and staphylococcus as the cause of diseases classified to other chapters,truncated: true,,"Chapter I Certain infectious and parasitic diseases | B95-B98 Bacterial, viral and other infectious agents | B95 Streptococcus and staphylococcus as the cause of diseases classified to other chapters",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B95-both_sexes.tsv.bgz.tbi,5726.0,2277.0,2994.0,"AFR,CSA,EUR",3.0,81.0,,99.0,,5009.0,,6555.0,,8777.0,,415522.0,,0.0652,,0.0838,,0.058499,,0.9963,,1.024,,1.0226,,icd10-B95-both_sexes.tsv.bgz,icd10-B95-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B95-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B95-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B95-both_sexes.tsv.bgz.tbi,1606675943.0,2052409.0,8bbc557568dfb13d4acb64f9b1863d3d,367276fddabca64b73dcc9bd2c38379d,IC_Streptococcus_and_staphylococcus_as_the_cause_of_diseases_classified_to_other_chapters_h0.05850_n5726,B95,0,IC_Streptococcus_and_staphylococcush0.05850,1.06,h2_z_insignificant,,0.0026,B95,0
icd10,B97,both_sexes,,,B97 Viral agents as the cause of diseases classified to other chapters,truncated: true,,"Chapter I Certain infectious and parasitic diseases | B95-B98 Bacterial, viral and other infectious agents | B97 Viral agents as the cause of diseases classified to other chapters",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B97-both_sexes.tsv.bgz.tbi,743.0,506.0,171.0,EUR,1.0,,,,,639.0,,,,,,419892.0,,,,,,0.056515,,,,,,1.0232,,icd10-B97-both_sexes.tsv.bgz,icd10-B97-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B97-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B97-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B97-both_sexes.tsv.bgz.tbi,533276101.0,1751801.0,fb4784a62800fe919ec372ac46f6cd47,df81c434d9f91b19ee7efe0c7f46f217,IC_Viral_agents_as_the_cause_of_diseases_classified_to_other_chapters_h0.05651_n743,B97,0,IC_Viral_agents_as_the_cause_of_diseases_classified_to_other_chapters_h0.05651,1.02,h2_z_insignificant,,0.0003,B97,0
icd10,B98,both_sexes,,,B98 Other specified infectious agents as the cause of diseases classified to other chapters,truncated: true,,"Chapter I Certain infectious and parasitic diseases | B95-B98 Bacterial, viral and other infectious agents | B98 Other specified infectious agents as the cause of diseases classified to other chapters",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B98-both_sexes.tsv.bgz.tbi,1875.0,834.0,844.0,"AFR,CSA,EUR",3.0,67.0,,73.0,,1486.0,,6569.0,,8803.0,,419045.0,,0.0,,0.0518,,0.17589,,1.0167,,1.0348,,1.0331,,icd10-B98-both_sexes.tsv.bgz,icd10-B98-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B98-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B98-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B98-both_sexes.tsv.bgz.tbi,1558661267.0,2044336.0,077d25a82f7779677f2db3b4fb6d8452,deebcb57d52e6f797ce8065ff6c73582,IC_Other_specified_infectious_agents_as_the_cause_of_diseases_classified_to_other_chapters_h0.17589_n1875,B98,0,IC_Other_specified_infectious_agents_as_the_cause_of_diseases_classified_to_other_chapters_h0.17589,1.04,h2_z_insignificant,,-0.0039,B98,0
icd10,C15,both_sexes,,,C15 Malignant neoplasm of oesophagus,truncated: true,,Chapter II Neoplasms | C15-C26 Malignant neoplasms of digestive organs | C15 Malignant neoplasm of oesophagus,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-C15-both_sexes.tsv.bgz.tbi,1057.0,244.0,750.0,EUR,1.0,,,,,975.0,,,,,,419556.0,,,,,,0.16215,,,,,,1.0306,,icd10-C15-both_sexes.tsv.bgz,icd10-C15-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C15-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C15-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-C15-both_sexes.tsv.bgz.tbi,536817164.0,1751728.0,6dfe748a3792d1c027ba597a5d436b8a,16b7b9c46af0f9c50ea274641085c123,IC_Malignant_neoplasm_of_oesophagus_h0.16215_n1057,C15,0,IC_Malignant_neoplasm_of_oesophagus_h0.16215,0.997,h2_z_insignificant,,0.0023,C15,0
