trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,to_remove_dups
phecode,250.13,both_sexes,,,Type 1 diabetes with ophthalmic manifestations,,,endocrine/metabolic,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-250.13-both_sexes.tsv.bgz.tbi,670,256,362,EUR,1,,,,,573,,,,,,396181,,,,,,0.13606,,,,,,1.0205,,phecode-250.13-both_sexes.tsv.bgz,phecode-250.13-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.13-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.13-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-250.13-both_sexes.tsv.bgz.tbi,532062696,1751564,9fefc73ebf520d35936e26914abd6322,b4beee962a347ed3282c27ac2850df92,PH_Type_1_diabetes_with_ophthalmic_manifestations_h0.13606_n670,E10.39,0,PH_Type_1_diabetes_with_ophthalmic_manifestations_h0.13606,1.02,h2_z_insignificant,,0.0042,E10,0
phecode,250.23,both_sexes,,,Type 2 diabetes with ophthalmic manifestations,,,endocrine/metabolic,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-250.23-both_sexes.tsv.bgz.tbi,1760,546,1059,"AFR,CSA,EUR",3,70,,163,,1332,,5793,,7181,,396181,,0.1203,,0.056,,0.18413,,0.98979,,1.0135,,1.0706,,phecode-250.23-both_sexes.tsv.bgz,phecode-250.23-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.23-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.23-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-250.23-both_sexes.tsv.bgz.tbi,1564965093,2044999,d1e8df2ae58383b177cba0dee5865eaf,f9603b82d0d350bf348f236c0f0f556a,PH_Type_2_diabetes_with_ophthalmic_manifestations_h0.18413_n1760,E11.39,0,PH_Type_2_diabetes_with_ophthalmic_manifestations_h0.18413,1.04,h2_z_insignificant,,0.0095,E11-E11.0-E11.6-E11.7-E11.8-E11.9-E13-E13.5-E13.6-E13.7-E13.8-E13.9-E14.9,0
phecode,300,both_sexes,,,Anxiety disorders,,,mental disorders,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-300-both_sexes.tsv.bgz.tbi,11860,6932,3977,"AFR,CSA,EUR",3,130,,172,,10449,,6116,,8189,,369930,,0.11674,,0,,0.050155,,1.0036,,0.98823,,1.0706,,phecode-300-both_sexes.tsv.bgz,phecode-300-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-300-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-300-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-300-both_sexes.tsv.bgz.tbi,1649988786,2059938,acd0430c7329f7cacab777b52bd7275d,912873936b1154e5af379953277daf66,PH_Anxiety_disorders_h0.05015_n11860,F40.8,0,PH_Anxiety_disorders_h0.05015,1.06,PASS,"CSA,EUR",0.0136,F48.0-F48.8-F48.9-F99-R45.2-R45.5,0
phecode,300.1,both_sexes,,,Anxiety disorder,,,mental disorders,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-300.1-both_sexes.tsv.bgz.tbi,11002,6546,3590,"AFR,CSA,EUR",3,119,,160,,9705,,6116,,8189,,369930,,0.13587,,0,,0.051599,,1.0176,,1.0255,,1.0641,,phecode-300.1-both_sexes.tsv.bgz,phecode-300.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-300.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-300.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-300.1-both_sexes.tsv.bgz.tbi,1644059976,2058990,a13369946ed785617942ea22297e7b5c,826fd633e4667606a3213c4ed992774c,PH_Anxiety_disorder_h0.05160_n11002,F40.8,0,PH_Anxiety_disorder_h0.05160,1.08,PASS,"CSA,EUR",0.0133,F06.4-F41.2-F41.3-F41.8-F41.9,0
phecode,721.1,both_sexes,,,Spondylosis without myelopathy,,,musculoskeletal,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-721.1-both_sexes.tsv.bgz.tbi,7632,4288,2784,"AFR,CSA,EUR",3,99,,139,,6726,,6306,,8461,,401917,,0.0916,,0.15133,,0.086178,,1.0084,,1.0127,,1.0509,,phecode-721.1-both_sexes.tsv.bgz,phecode-721.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-721.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-721.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-721.1-both_sexes.tsv.bgz.tbi,1626547327,2056019,761a03cec39e09b4057800a23f835db9,804d423dd638cab44e084126bcb71ac1,PH_Spondylosis_without_myelopathy_h0.08618_n7632,M47.819,0,PH_Spondylosis_without_myelopathy_h0.08618,1.06,h2_z_insignificant,,0.0055,M47.2-M47.8,0
phecode,721.2,both_sexes,,,Spondylosis with myelopathy,,,musculoskeletal,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-721.2-both_sexes.tsv.bgz.tbi,303,122,163,EUR,1,,,,,257,,,,,,401917,,,,,,0.077972,,,,,,1.0079,,phecode-721.2-both_sexes.tsv.bgz,phecode-721.2-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-721.2-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-721.2-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-721.2-both_sexes.tsv.bgz.tbi,521572670,1750951,a083b4145088e6c30caddb0c89424c4e,245183921e3853f71775c0c16c709955,PH_Spondylosis_with_myelopathy_h0.07797_n303,M47.10,0,PH_Spondylosis_with_myelopathy_h0.07797,0.993,h2_z_insignificant,,0.0017,M47,0
phecode,250.1,both_sexes,,,Type 1 diabetes,,,endocrine/metabolic,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-250.1-both_sexes.tsv.bgz.tbi,3898,1514,2091,"AFR,CSA,EUR",3,122,,173,,3250,,5793,,7181,,396181,,0.0497,,0.0324,,0.15289,,0.99889,,1.0294,,1.0574,,phecode-250.1-both_sexes.tsv.bgz,phecode-250.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-250.1-both_sexes.tsv.bgz.tbi,1617160667,2054296,498ce585ab92b29c31e8187979af897f,267b09c367757f56bcec532227c5fde0,PH_Type_1_diabetes_h0.15289_n3898,E10.618,0,PH_Type_1_diabetes_h0.15289,1.04,h2_z_insignificant,,0.0088,E10-E10.0-E10.6-E10.7-E10.8-E10.9,0
phecode,250.2,both_sexes,,,Type 2 diabetes,,,endocrine/metabolic,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,28048,10068,15722,"AFR,CSA,EAS,EUR,MID",5,796,,1664,152,22768,170,5793,,7181,2555,396181,1424,0.0317,,0.0482,0.043,0.11847,0.0706,0.98302,,0.97374,1.0299,1.1863,0.98096,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,2196857564,2203022,0b7c295da326bc303070ee4058a3f239,4362f14fe8f24db0036de1e514354a98,PH_Type_2_diabetes_h0.11847_n28048,E11.618,0,PH_Type_2_diabetes_h0.11847,1.16,PASS,"CSA,EUR",0.0484,E11-E11.0-E11.6-E11.7-E11.8-E11.9-E13-E13.5-E13.6-E13.7-E13.8-E13.9-E14.9,0
phecode,276.11,both_sexes,,,Hyperosmolality and/or hypernatremia,,,endocrine/metabolic,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-276.11-both_sexes.tsv.bgz.tbi,470,152,284,EUR,1,,,,,402,,,,,,409482,,,,,,0.082698,,,,,,1.0065,,phecode-276.11-both_sexes.tsv.bgz,phecode-276.11-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-276.11-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-276.11-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-276.11-both_sexes.tsv.bgz.tbi,527138629,1750879,81e861c57e0f91b94751b9cebfc9dfd6,8446030a015c6305a02c8e1dc6b9a67b,PH_Hyperosmolality_and_or_hypernatremia_h0.08270_n470,E87.0,0,PH_Hyperosmolality_and_or_hypernatremia_h0.08270,1,h2_z_insignificant,,-0.0008,E87,0
phecode,276.12,both_sexes,,,Hyposmolality and/or hyponatremia,,,endocrine/metabolic,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-276.12-both_sexes.tsv.bgz.tbi,3343,1601,1516,"CSA,EUR",2,,,113,,2920,,,,8559,,409482,,,,0,,0.10883,,,,1.0052,,1.0394,,phecode-276.12-both_sexes.tsv.bgz,phecode-276.12-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-276.12-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-276.12-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-276.12-both_sexes.tsv.bgz.tbi,1111130995,1931808,c5de3a80ef362f660727b6664d9917b0,80534dee42110eef07a3786c0c3c2e1d,PH_Hyposmolality_and_or_hyponatremia_h0.10883_n3343,E87.1,0,PH_Hyposmolality_and_or_hyponatremia_h0.10883,1.05,h2_z_insignificant,,0.0025,E87.1,0
