trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,to_remove_dups
categorical,41246,both_sexes,1060,,Treatment speciality of consultant (recoded),"This field is a summary of the distinct treatment speciality codes a participant has had recorded in their hospital inpatient records. The treatment speciality of the consultant is specialism under which the consultant was working, e.g. cardiology or geriatric medicine, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field TRETSPEF_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Adult mental illness,Health-related outcomes > Hospital inpatient > Summary Administration,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41246-both_sexes-1060.tsv.bgz.tbi,3617,1870,1747,"AFR,CSA,EUR",3,87,,69,,3067,,6401,,8503,,400082,,0.17923,,0.0963,,0.11822,,0.98531,,1.0286,,1.0504,,categorical-41246-both_sexes-1060.tsv.bgz,categorical-41246-both_sexes-1060.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41246-both_sexes-1060.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41246-both_sexes-1060.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41246-both_sexes-1060.tsv.bgz.tbi,1590425427,2050142,51af7cb18691a7774e2f8868a7443e7f,5a02e3b04cd464a8ff410f7b6a49dc2a,CA_Adult_mental_illness_h0.11822_n3617,F99,0,CA_Adult_mental_illness_h0.11822,1.06,h2_z_insignificant,,0.0022,not_found,1
categorical,41246,both_sexes,1080,,Treatment speciality of consultant (recoded),"This field is a summary of the distinct treatment speciality codes a participant has had recorded in their hospital inpatient records. The treatment speciality of the consultant is specialism under which the consultant was working, e.g. cardiology or geriatric medicine, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field TRETSPEF_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Anaesthetics,Health-related outcomes > Hospital inpatient > Summary Administration,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41246-both_sexes-1080.tsv.bgz.tbi,3972,2213,1759,EUR,1,,,,,3467,,,,,,399786,,,,,,0.0507,,,,,,1.028,,categorical-41246-both_sexes-1080.tsv.bgz,categorical-41246-both_sexes-1080.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41246-both_sexes-1080.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41246-both_sexes-1080.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41246-both_sexes-1080.tsv.bgz.tbi,545287719,1752080,39ee313a7e203bede4fe1652d216d6ca,f992d38cd5ca7ecbd22f7202d733c193,CA_Summary_Administration_h0.05070_n3972,,0,CA_Treatment_speciality_consultant_anaesthetics_h0.05070,1.04,h2_z_insignificant,,0.0018,not_found,1
categorical,41246,both_sexes,1170,,Treatment speciality of consultant (recoded),"This field is a summary of the distinct treatment speciality codes a participant has had recorded in their hospital inpatient records. The treatment speciality of the consultant is specialism under which the consultant was working, e.g. cardiology or geriatric medicine, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field TRETSPEF_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Cardiothoracic surgery,Health-related outcomes > Hospital inpatient > Summary Administration,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41246-both_sexes-1170.tsv.bgz.tbi,6038,1463,4575,"CSA,EUR",2,,,190,,5294,,,,8386,,397855,,,,0,,0.073907,,,,0.99104,,1.043,,categorical-41246-both_sexes-1170.tsv.bgz,categorical-41246-both_sexes-1170.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41246-both_sexes-1170.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41246-both_sexes-1170.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41246-both_sexes-1170.tsv.bgz.tbi,1139599072,1937185,0457fbe84232886bef104eab7ff973a4,3ffa9a89f6221c406ff01dd482fdca30,CA_Cardiothoracic_surgery_h0.07391_n6038,K91.0,0,CA_Cardiothoracic_surgery_h0.07391,1.03,h2_z_insignificant,,0.0078,not_found,1
categorical,41246,both_sexes,1370,,Treatment speciality of consultant (recoded),"This field is a summary of the distinct treatment speciality codes a participant has had recorded in their hospital inpatient records. The treatment speciality of the consultant is specialism under which the consultant was working, e.g. cardiology or geriatric medicine, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field TRETSPEF_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Critical care medicine,Health-related outcomes > Hospital inpatient > Summary Administration,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41246-both_sexes-1370.tsv.bgz.tbi,2379,986,1393,"CSA,EUR",2,,,54,,2090,,,,8517,,400898,,,,0,,0.059867,,,,1.0287,,0.99934,,categorical-41246-both_sexes-1370.tsv.bgz,categorical-41246-both_sexes-1370.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41246-both_sexes-1370.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41246-both_sexes-1370.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41246-both_sexes-1370.tsv.bgz.tbi,1088863415,1928376,0f2d750ca47c40ad8c819acd7746fea0,b1d1d447614ef4efb85ba601ec9e5aba,CA_Treatment_speciality_consultant_Critical_care_medicine_h0.05987_n2379,G72.81,0,CA_Treatment_speciality_consultant_Critical_care_medicine_h0.05987,1.02,h2_z_insignificant,,4.45E-05,not_found,1
categorical,41248,both_sexes,1001,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Usual Place of residence: Living with relatives,Health-related outcomes > Hospital inpatient > Summary Administration,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-1001.tsv.bgz.tbi,15898,8599,7299,"CSA,EUR",2,,,115,,13748,,,,8608,,398814,,,,0.1654,,0.12824,,,,1.0225,,1.1119,,categorical-41248-both_sexes-1001.tsv.bgz,categorical-41248-both_sexes-1001.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-1001.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-1001.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-1001.tsv.bgz.tbi,1157923165,1942408,41adcd67f5c761138bcddbe0410991d6,56f14a9a9c1abd4b5892d1be5ef97d97,CA_Usual_Place_residence_Living_with_relatives_h0.12824_n15898,Y92.1,0,CA_Usual_Place_residence_Living_with_relatives_h0.12824,1.1,h2_z_insignificant,,-0.0002,not_found,1
categorical,41248,both_sexes,1002,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Usual Place of residence: Living alone,Health-related outcomes > Hospital inpatient > Summary Administration,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-1002.tsv.bgz.tbi,3963,2245,1718,EUR,1,,,,,3357,,,,,,408858,,,,,,0.15355,,,,,,1.0591,,categorical-41248-both_sexes-1002.tsv.bgz,categorical-41248-both_sexes-1002.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-1002.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-1002.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-1002.tsv.bgz.tbi,544083954,1751996,2c4fb35b8070cf4aa5f29d27cdd444d6,277b29e864009585e590fd06fbae2ce6,CA__Summary_Administration_h0.15355_n3963,,1,CA_Administration_h0.15355,1.04,h2_z_insignificant,,-0.0019,not_found,1
categorical,41248,both_sexes,6000,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Transfer within NHS provider,Health-related outcomes > Hospital inpatient > Summary Administration,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-6000.tsv.bgz.tbi,5312,2457,2855,EUR,1,,,,,4683,,,,,,407892,,,,,,0.15093,,,,,,1.0533,,categorical-41248-both_sexes-6000.tsv.bgz,categorical-41248-both_sexes-6000.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-6000.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-6000.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-6000.tsv.bgz.tbi,545436952,1752078,0c362d5b4861379ec445c4f29eda3fad,e0cedfc81ddad604d0070789a2d4f8af,CA__Summary_Administration_h0.15093_n5312,,1,CA_Administration_h0.15093,1.07,h2_z_insignificant,,0.0034,not_found,1
categorical,41248,both_sexes,6004,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Transfer within NHS provider: Surgical specialty,Health-related outcomes > Hospital inpatient > Summary Administration,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-6004.tsv.bgz.tbi,1263,563,700,EUR,1,,,,,1107,,,,,,411030,,,,,,0.30128,,,,,,0.97992,,categorical-41248-both_sexes-6004.tsv.bgz,categorical-41248-both_sexes-6004.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-6004.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-6004.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-6004.tsv.bgz.tbi,537131155,1751959,47ba4f6fa52952537efbb2a8883fe41a,92b1b9d60e37f0475902e65eb3e1c96c,CA_Summary_Administration_h0.30128_n1263,,1,CA_Administration_h0.30128,0.984,h2_z_insignificant,,0.0005,not_found,1
categorical,41248,both_sexes,6005,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Transfer within NHS provider: Medical specialty,Health-related outcomes > Hospital inpatient > Summary Administration,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-6005.tsv.bgz.tbi,2119,901,1218,EUR,1,,,,,1823,,,,,,410432,,,,,,0.15077,,,,,,1.032,,categorical-41248-both_sexes-6005.tsv.bgz,categorical-41248-both_sexes-6005.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-6005.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-6005.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-6005.tsv.bgz.tbi,540667348,1751648,01daeb6c5e4156b5ed479aeadd5f7094,138a6ca7f849645b2cf88c0699b5d251,CA__Summary_Administration_h0.15077_n2119,,1,CA_Administration_h0.15077,1.03,h2_z_insignificant,,0.0012,not_found,1
categorical,41248,both_sexes,8002,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Other hospital: Non-NHS,Health-related outcomes > Hospital inpatient > Summary Administration,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-8002.tsv.bgz.tbi,1279,610,669,EUR,1,,,,,1114,,,,,,410981,,,,,,0.050644,,,,,,1.026,,categorical-41248-both_sexes-8002.tsv.bgz,categorical-41248-both_sexes-8002.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-8002.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-8002.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-8002.tsv.bgz.tbi,538384759,1751919,510b680cedf4f38effc8a3125a527bac,2776a57ff7b5c4f2034b99bd58419ca8,CA_Summary_Administration_h0.05064_n1279,,1,CA_Administration_h0.05064,1.01,h2_z_insignificant,,0.0005,not_found,1
