trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,to_remove_dups
categorical,100920,both_sexes,2106,,Type milk consumed,"Question asked: ""Which type of milk did you use most frequently yesterday? Remember milk in drinks, on cereal and in cooking."" If the participant activated the Help feature they were shown the message:  If you typically use more than one type of milk, please select the one you use the most, even if it is only used slightly more than other types. If you had 1% fat milk (e.g. Sainsbury's orange top milk) then please select Semi-skimmed milk.",soya without calcium,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-100920-both_sexes-2106.tsv.bgz.tbi,947,610,337,EUR,1,,,,,757,,,,,,58133,,,,,,0.12161,,,,,,1.0134,,categorical-100920-both_sexes-2106.tsv.bgz,categorical-100920-both_sexes-2106.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-100920-both_sexes-2106.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-100920-both_sexes-2106.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-100920-both_sexes-2106.tsv.bgz.tbi,532084452,1751079,8ce0410ba6eb608dfb72565a4f4e8f14,543ff634a448afc5661b255cf5f793c4,CA__Milk/eggs/cheese_yesterday_h0.12161_n947,,1,CA_soya_milk_yesterday_h0.12161,1.02,h2_z_insignificant,,-0.0374,not_found,0
categorical,100920,both_sexes,2109,,Type milk consumed,"Question asked: ""Which type of milk did you use most frequently yesterday? Remember milk in drinks, on cereal and in cooking."" If the participant activated the Help feature they were shown the message:  If you typically use more than one type of milk, please select the one you use the most, even if it is only used slightly more than other types. If you had 1% fat milk (e.g. Sainsbury's orange top milk) then please select Semi-skimmed milk.",powdered milk,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-100920-both_sexes-2109.tsv.bgz.tbi,332,177,155,EUR,1,,,,,269,,,,,,58621,,,,,,0.11825,,,,,,1.0114,,categorical-100920-both_sexes-2109.tsv.bgz,categorical-100920-both_sexes-2109.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-100920-both_sexes-2109.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-100920-both_sexes-2109.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-100920-both_sexes-2109.tsv.bgz.tbi,519157766,1750675,7aaa2bcd6424a2aa7a41b9673a39aee9,5a0c7708c3338b5f3fb2b3e7a8e57ebc,CA__Milk/eggs/cheese_yesterday_h0.11825_n332,,1,CA_powdered_milk_yesterday_h0.11825,0.996,h2_z_insignificant,,0.0124,not_found,0
categorical,100920,both_sexes,2199,,Type milk consumed,"Question asked: ""Which type of milk did you use most frequently yesterday? Remember milk in drinks, on cereal and in cooking."" If the participant activated the Help feature they were shown the message:  If you typically use more than one type of milk, please select the one you use the most, even if it is only used slightly more than other types. If you had 1% fat milk (e.g. Sainsbury's orange top milk) then please select Semi-skimmed milk.",other type of milk,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-100920-both_sexes-2199.tsv.bgz.tbi,367,243,124,EUR,1,,,,,272,,,,,,58618,,,,,,0.16072,,,,,,1.0164,,categorical-100920-both_sexes-2199.tsv.bgz,categorical-100920-both_sexes-2199.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-100920-both_sexes-2199.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-100920-both_sexes-2199.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-100920-both_sexes-2199.tsv.bgz.tbi,519472890,1750881,967ddc625700aed6c40e8e089bbf48c8,98ce8e67b21eb0dadca62b3bcc934597,CA__Milk/eggs/cheese_yesterday_h0.16072_n367,,1,CA_pther_milk_yesterday_h0.16072,0.983,h2_z_insignificant,,-0.0017,not_found,0
categorical,12223,both_sexes,0,,Abdominal MRI measuring method,.,Direct entry,UK Biobank Assessment Centre > Imaging > Abdominal MRI,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-12223-both_sexes-0.tsv.bgz.tbi,39941,20681,19260,"AFR,CSA,EUR",3,200,,393,,35853,,8,,17,,984,,0.39618,,0.30065,,0.059468,,1.1259,,0.97932,,1.0422,,categorical-12223-both_sexes-0.tsv.bgz,categorical-12223-both_sexes-0.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-12223-both_sexes-0.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-12223-both_sexes-0.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-12223-both_sexes-0.tsv.bgz.tbi,1342265866,2008445,d4e6deb56219d0f0e405bd253eb3d77b,35b2ac3ba84f0e6e68d452bef2830f95,CA_Abdominal_MRI_h0.05947_n39941,M01.X,0,CA_Abdominal_MRI_h0.05947,1.02,h2_z_insignificant,,0.0127,not_found,1
categorical,12223,both_sexes,6,,Abdominal MRI measuring method,.,Not performed - equipment failure,UK Biobank Assessment Centre > Imaging > Abdominal MRI,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-12223-both_sexes-6.tsv.bgz.tbi,331,169,162,EUR,1,,,,,305,,,,,,36532,,,,,,0.070842,,,,,,1.0113,,categorical-12223-both_sexes-6.tsv.bgz,categorical-12223-both_sexes-6.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-12223-both_sexes-6.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-12223-both_sexes-6.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-12223-both_sexes-6.tsv.bgz.tbi,514893847,1749744,e14d7ec03d68b03d99346ae913b108d7,91ddc05099648f91323aa138e6204c5c,CA_Abdominal_MRI_h0.07084_n331,,0,CA_Abdominal_MRI_h0.07084,1,h2_z_insignificant,,-0.0193,not_found,1
categorical,1747,both_sexes,1,,"Hair colour (natural, before greying)","ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)""  If the participant activated the Help button they were shown the message:        If you are unsure, please select the colour closest to your natural  adult hair colour or select Do not know.          This question was dropped from the touchscreen protocol on 24/10/2016.",Blonde,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-1.tsv.bgz.tbi,51325,30965,20360,EUR,1,,,,,47978,,,,,,371503,,,,,,0.1848,,,,,,1.195,,categorical-1747-both_sexes-1.tsv.bgz,categorical-1747-both_sexes-1.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-1.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-1.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-1.tsv.bgz.tbi,548358232,1752175,dc85062c365eb420af647589ba5b9a9c,e1e42b0337aea04b2b686e98aebc6b43,CA_Sun_exposure_h0.18480_n51325,,0,CA_blonde_hair_color_h0.18480,1.25,not_EUR_plus_1,,0.0904,not_found,1
categorical,1747,both_sexes,2,,"Hair colour (natural, before greying)","ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)""  If the participant activated the Help button they were shown the message:        If you are unsure, please select the colour closest to your natural  adult hair colour or select Do not know.          This question was dropped from the touchscreen protocol on 24/10/2016.",Red,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-2.tsv.bgz.tbi,20712,12815,7897,EUR,1,,,,,19254,,,,,,400227,,,,,,0.20786,,,,,,1.0731,,categorical-1747-both_sexes-2.tsv.bgz,categorical-1747-both_sexes-2.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-2.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-2.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-2.tsv.bgz.tbi,547463102,1752185,bc0154601bf430133a259d1682a27416,4d8ea929d134b44a2c0d81faf8554f60,CA_Sun_exposure_h0.20786_n20712,,0,CA_red_hair_color_h0.20786,1.08,h2_z_insignificant,,0.0088,not_found,1
categorical,1747,both_sexes,4,,"Hair colour (natural, before greying)","ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)""  If the participant activated the Help button they were shown the message:        If you are unsure, please select the colour closest to your natural  adult hair colour or select Do not know.          This question was dropped from the touchscreen protocol on 24/10/2016.",Dark brown,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-4.tsv.bgz.tbi,179611,99656,79955,"AFR,AMR,CSA,EAS,EUR,MID",6,797,497,2141,578,156784,627,5746,464,6529,2081,262697,936,0.0424,0.0328,0.0293,0.0294,0.096412,0.0319,0.96601,1.0035,1.0048,0.9841,1.2902,1.0094,categorical-1747-both_sexes-4.tsv.bgz,categorical-1747-both_sexes-4.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-4.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-4.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-4.tsv.bgz.tbi,2423979601,2256197,ef6a0c66dc939d54eb3fe3602a49acb9,7ac005c6945ac6ed9c9ba5f02beae398,CA_Sun_exposure_h0.09641_n179611,H53.61,0,CA_dark_brown_hair_color_h0.09641,1.31,PASS,"AFR,CSA,EAS,EUR,MID",0.0799,not_found,1
categorical,1747,both_sexes,5,,"Hair colour (natural, before greying)","ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)""  If the participant activated the Help button they were shown the message:        If you are unsure, please select the colour closest to your natural  adult hair colour or select Do not know.          This question was dropped from the touchscreen protocol on 24/10/2016.",Black,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-5.tsv.bgz.tbi,39369,12603,26766,"AFR,AMR,CSA,EAS,EUR,MID",6,5637,246,6193,2040,18158,708,906,715,2477,619,401323,855,0.0442,0.0473,0.0305,0.0311,0.21455,0.0261,0.95529,0.97826,1.0075,1.0284,1.0702,1.0185,categorical-1747-both_sexes-5.tsv.bgz,categorical-1747-both_sexes-5.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-5.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-5.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-5.tsv.bgz.tbi,2401355811,2254033,813800cd610933ff24130eafa5ea0ed4,96ce91e8ddfee998774d644990c2e6f5,CA_Sun_exposure_h0.21455_n39369,T63.311A,0,CA_black_hair_color_h0.21455,1.1,PASS,"AFR,CSA,EAS,EUR,MID",0.0405,not_found,1
categorical,1747,both_sexes,6,,"Hair colour (natural, before greying)","ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)""  If the participant activated the Help button they were shown the message:        If you are unsure, please select the colour closest to your natural  adult hair colour or select Do not know.          This question was dropped from the touchscreen protocol on 24/10/2016.",Other,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-6.tsv.bgz.tbi,5946,2078,3868,"AFR,CSA,EUR",3,52,,85,,5301,,6491,,8585,,414180,,0.12906,,0.0698,,0.06402,,1.0111,,0.99576,,1.0491,,categorical-1747-both_sexes-6.tsv.bgz,categorical-1747-both_sexes-6.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-6.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-6.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-1747-both_sexes-6.tsv.bgz.tbi,1584105631,2048527,32e3e0acb22f7242fbc9448aba74d8a7,186b9c3e27a2ed53337406841fc6986a,CA_Sun_exposure_h0.06402_n5946,W61.29,0,CA_other_hair_color_h0.06402,1.04,h2_z_insignificant,,0.0043,not_found,1
