trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,to_remove_dups
continuous,21001,both_sexes,,irnt,Body mass index (BMI),BMI value here is constructed from height and weight measured during the initial Assessment Centre visit. Value is not present if either of these readings were omitted.,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,482304,261673,220631,"AFR,AMR,CSA,EAS,EUR,MID",6,6545,971,8646,2693,419163,1572,,,,,,,0.38383,0.91323,0.38206,0.3892,0.10901,0.55067,1.038,1.014,1.0331,1.0297,1.8079,1.0222,continuous-21001-both_sexes-irnt.tsv.bgz,continuous-21001-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,2024641832,2171350,b23e03e39e535e324f99587a407e4e2a,de5ebd1d3c0bd72667b34375c5656c9c,CO_Body_size_measures_irnt_h0.10901_n482304,,0,CO_BMI_body_size_h0.10901,1.83,PASS,"CSA,EUR,MID",0.262,not_required,1
continuous,21002,both_sexes,,irnt,Weight,Weight was measured by a variety of means during the initial Assessment Centre visit. This field amalgamates these values into a single item.,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-21002-both_sexes-irnt.tsv.bgz.tbi,482622,261765,220857,"AFR,AMR,CSA,EAS,EUR,MID",6,6558,972,8771,2693,419316,1574,,,,,,,0.37878,0.67525,0.39727,0.44881,0.11692,0.71057,1.0315,1.0069,1.0237,1.0494,1.8986,1.0271,continuous-21002-both_sexes-irnt.tsv.bgz,continuous-21002-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-21002-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-21002-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-21002-both_sexes-irnt.tsv.bgz.tbi,2024289200,2171234,276b3549e6789ac414d7ac11cca84c23,a53db003aa0b7ba393e6c55064fa8209,CO_Body_size_measures_irnt_h0.11692_n482622,,0,CO_Weight_h0.11692,1.89,PASS,"AFR,CSA,EUR,MID",0.3,not_required,1
continuous,23098,both_sexes,,irnt,Weight,Weight of person taken during impedance measurement. 0.1 increments. Range 0 - 200Kg.,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-23098-both_sexes-irnt.tsv.bgz.tbi,475586,258188,217398,"AFR,AMR,CSA,EAS,EUR,MID",6,6458,962,8658,2662,413194,1535,,,,,,,0.37262,0.66266,0.3996,0.42497,0.11712,0.61698,1.0284,0.99919,1.0159,0.99157,1.8458,1.0118,continuous-23098-both_sexes-irnt.tsv.bgz,continuous-23098-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23098-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23098-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-23098-both_sexes-irnt.tsv.bgz.tbi,2023969933,2171444,a6175d28e6dcc8a3cfac4813794ec22f,90fcbc477740454271dcfbdf5fec6811,CO_Impedance_measures_irnt_h0.11712_n475586,,0,CO_Weight_h0.11712,1.88,PASS,"AFR,CSA,EUR,MID",0.296,not_required,0
continuous,23104,both_sexes,,irnt,Body mass index (BMI),Body composition estimation by impedance measurement. Body Mass Index. Increments of 0.1 .,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-23104-both_sexes-irnt.tsv.bgz.tbi,475578,258185,217393,"AFR,AMR,CSA,EAS,EUR,MID",6,6458,962,8658,2662,413186,1535,,,,,,,0.36159,0.89975,0.38472,0.38354,0.10893,0.48518,1.0245,1.0017,1.0152,1.032,1.8182,1.0146,continuous-23104-both_sexes-irnt.tsv.bgz,continuous-23104-both_sexes-irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23104-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23104-both_sexes-irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-23104-both_sexes-irnt.tsv.bgz.tbi,2024569175,2171196,0b020e9c6eeb3688e4b1b28c589c21ff,c907dbc689a18440e326603934fd28e5,CO_Impedance_measures_irnt_h0.10893_n475578,,0,CO_BMI_impedence_h0.10893,1.81,PASS,"AFR,CSA,EAS,EUR,MID",0.268,not_required,0
continuous,DBP,both_sexes,,auto_medadj_irnt,"Diastolic blood pressure, automated reading, adjusted by medication",DBP (automated reading; 4079) adjusted by the use of blood pressure lowering medication (6153_2 and 6177_2),,Diastolic blood pressure,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-DBP-both_sexes-auto_medadj_irnt.tsv.bgz.tbi,453010,207014,245996,"AFR,AMR,CSA,EAS,EUR,MID",6,6350,930,8206,2466,393862,1474,,,,,,,0.29893,0.29083,0.14506,0.10712,0.087509,0.14221,1.0257,1.014,0.9984,1.0122,1.6115,1.0203,continuous-DBP-both_sexes-auto_medadj_irnt.tsv.bgz,continuous-DBP-both_sexes-auto_medadj_irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-DBP-both_sexes-auto_medadj_irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-DBP-both_sexes-auto_medadj_irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-DBP-both_sexes-auto_medadj_irnt.tsv.bgz.tbi,2024242109,2171330,1e2e396770ff7728e33fbb2c20d35a2f,a89994697ca7ca347c593178547f8b51,CO_Diastolic_blood_pressure_auto_medadj_irnt_h0.08751_n453010,,0,CO_Diastolic_blood_pressure_auto_medadj_h0.08751,1.6,PASS,"CSA,EUR",0.211,not_required,1
continuous,DBP,both_sexes,,auto_medadj_raw,"Diastolic blood pressure, automated reading, adjusted by medication",DBP (automated reading; 4079) adjusted by the use of blood pressure lowering medication (6153_2 and 6177_2),,Diastolic blood pressure,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-DBP-both_sexes-auto_medadj_raw.tsv.bgz.tbi,453010,207014,245996,"AFR,AMR,CSA,EAS,EUR,MID",6,6350,930,8206,2466,393862,1474,,,,,,,0.29514,0.48002,0.13028,0.15765,0.086728,0.12145,1.0352,1.0185,0.99668,1.0075,1.6304,1.014,continuous-DBP-both_sexes-auto_medadj_raw.tsv.bgz,continuous-DBP-both_sexes-auto_medadj_raw.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-DBP-both_sexes-auto_medadj_raw.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-DBP-both_sexes-auto_medadj_raw.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-DBP-both_sexes-auto_medadj_raw.tsv.bgz.tbi,2028207868,2171219,4d803ec309507d1ea29636a69d84634c,c730c49aa26edc306dc31f1dd6e7f0ac,CO_Diastolic_blood_pressure_auto_medadj_raw_h0.08673_n453010,,1,CO_Diastolic_blood_pressure_auto_medadj_h0.08673,1.62,PASS,"CSA,EUR,MID",0.209,not_required,0
continuous,DBP,both_sexes,,combined_irnt,"Diastolic blood pressure, combined automated + manual reading",Combination of DBP automated (4079) + manual (94) reading,,Diastolic blood pressure,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-DBP-both_sexes-combined_irnt.tsv.bgz.tbi,483729,221506,262223,"AFR,AMR,CSA,EAS,EUR,MID",6,6614,980,8842,2705,420136,1590,,,,,,,0.2224,0.0513,0.0996,0.15376,0.063412,0.0469,1.0179,1.0255,1.0206,1.0143,1.4819,0.9696,continuous-DBP-both_sexes-combined_irnt.tsv.bgz,continuous-DBP-both_sexes-combined_irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-DBP-both_sexes-combined_irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-DBP-both_sexes-combined_irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-DBP-both_sexes-combined_irnt.tsv.bgz.tbi,2025270964,2171476,98e30b9858bcdc03959f5ffba0b4bd34,f171184fbd486e948ab711d639041ec6,CO_Diastolic_blood_pressure_combined_irnt_h0.06341_n483729,,0,CO_Diastolic_blood_pressure_combined_h0.06341,1.51,PASS,"CSA,EUR",0.15,not_required,1
continuous,DBP,both_sexes,,combined_medadj_irnt,"Diastolic blood pressure, combined automated + manual reading, adjusted by medication","Combination of DBP automated (4079) + manual (94) reading, adjusted by the use of blood pressure lowering medication (6153_2 and 6177_2)",,Diastolic blood pressure,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-DBP-both_sexes-combined_medadj_irnt.tsv.bgz.tbi,479103,218776,260327,"AFR,AMR,CSA,EAS,EUR,MID",6,6408,950,8398,2564,417003,1522,,,,,,,0.29249,0.23469,0.15804,0.1446,0.086842,0.0879,1.0106,1.0359,1.0153,0.97853,1.6218,0.99957,continuous-DBP-both_sexes-combined_medadj_irnt.tsv.bgz,continuous-DBP-both_sexes-combined_medadj_irnt.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-DBP-both_sexes-combined_medadj_irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-DBP-both_sexes-combined_medadj_irnt.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-DBP-both_sexes-combined_medadj_irnt.tsv.bgz.tbi,2024844660,2171090,5639a43f1ae514119739b5ed1971eb06,d6980a60e458d5113dcf0b89ac77d1cb,CO_Diastolic_blood_pressure_combined_medadj_irnt_h0.08684_n479103,,0,CO_Diastolic_blood_pressure_combined_medadj_h0.08684,1.63,PASS,"CSA,EUR",0.212,not_required,1
continuous,DBP,both_sexes,,combined_medadj_raw,"Diastolic blood pressure, combined automated + manual reading, adjusted by medication","Combination of DBP automated (4079) + manual (94) reading, adjusted by the use of blood pressure lowering medication (6153_2 and 6177_2)",,Diastolic blood pressure,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-DBP-both_sexes-combined_medadj_raw.tsv.bgz.tbi,479103,218776,260327,"AFR,AMR,CSA,EAS,EUR,MID",6,6408,950,8398,2564,417003,1522,,,,,,,0.2862,0.44267,0.14467,0.19532,0.08613,0.0524,1.0096,1.0274,1.0202,1.0136,1.613,1.0282,continuous-DBP-both_sexes-combined_medadj_raw.tsv.bgz,continuous-DBP-both_sexes-combined_medadj_raw.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-DBP-both_sexes-combined_medadj_raw.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-DBP-both_sexes-combined_medadj_raw.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-DBP-both_sexes-combined_medadj_raw.tsv.bgz.tbi,2028695870,2171473,c2dd922949cbe40cd66312367b3fcb43,0334d43b7aa270fd07f883c65230193f,CO_Diastolic_blood_pressure_combined_medadj_raw_h0.08613_n479103,,1,CO_Diastolic_blood_pressure_combined_medadj_h0.08613,1.64,PASS,"CSA,EUR",0.209,not_required,1
continuous,DBP,both_sexes,,combined_raw,"Diastolic blood pressure, combined automated + manual reading",Combination of DBP automated (4079) + manual (94) reading,,Diastolic blood pressure,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-DBP-both_sexes-combined_raw.tsv.bgz.tbi,483729,221506,262223,"AFR,AMR,CSA,EAS,EUR,MID",6,6614,980,8842,2705,420136,1590,,,,,,,0.21316,0.15217,0.0904,0.19126,0.062816,0.0439,1.0196,1.0301,1.0127,0.98822,1.4809,1.0039,continuous-DBP-both_sexes-combined_raw.tsv.bgz,continuous-DBP-both_sexes-combined_raw.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-DBP-both_sexes-combined_raw.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-DBP-both_sexes-combined_raw.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/continuous-DBP-both_sexes-combined_raw.tsv.bgz.tbi,2025776232,2171634,3c2644a7cf06bcec1594cb8fd6540e19,b5c52f6c5d36c912ea1152e854e2658f,CO_Diastolic_blood_pressure_combined_raw_h0.06282_n483729,,1,CO_Diastolic_blood_pressure_combined_h0.06282,1.52,PASS,"CSA,EUR",0.149,not_required,1
