;coding;X;Unnamed..0;Unnamed..0.1;trait_type;phenocode;pheno_sex;modifier;description;description_more;coding_description;category;n_cases_full_cohort_both_sexes;n_cases_full_cohort_females;n_cases_full_cohort_males;pops;num_pops;n_cases_AFR;n_cases_AMR;n_cases_CSA;n_cases_EAS;n_cases_EUR;n_cases_MID;n_controls_AFR;n_controls_AMR;n_controls_CSA;n_controls_EAS;n_controls_EUR;n_controls_MID;saige_heritability_AFR;saige_heritability_AMR;saige_heritability_CSA;saige_heritability_EAS;saige_heritability_EUR;saige_heritability_MID;lambda_gc_AFR;lambda_gc_AMR;lambda_gc_CSA;lambda_gc_EAS;lambda_gc_EUR;lambda_gc_MID;filename;filename_tabix;aws_link;aws_link_tabix;wget;wget_tabix;size_in_bytes;size_in_bytes_tabix;md5_hex;md5_hex_tabix;phenocode_annotate_lst;category_manual;coding_description.1;new_pheno_annot;AB_ICD10;AB_PRESUMED.DIAGNOSIS
1;1140851812;85;85;473;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;gtn 400micrograms spray;UK Biobank Assessment Centre > Verbal interview > Medications;1119;394;725;EUR;1;NA;NA;NA;NA;1000;NA;NA;NA;NA;NA;419473;NA;NA;NA;NA;NA;0.15787;NA;NA;NA;NA;NA;1.0221;NA;categorical-20003-both_sexes-1140851812.tsv.bgz;categorical-20003-both_sexes-1140851812.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140851812.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140851812.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140851812.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140851812.tsv.bgz.tbi;536136797;1751780;b6db549860e0a89b6a69f39fc3bbe7db;fe156e3cbabdfc43ef9912521b6b335c;CA_Medications_h0.15787_n1119;Medications;gtn 400micrograms spray;CA_PRS_gtn_400micrograms_spray_h0.15787_n1119;I20_I25;Angina/IHD
2;1140860834;86;86;485;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;glyceryl trinitrate;UK Biobank Assessment Centre > Verbal interview > Medications;1469;469;1000;EUR;1;NA;NA;NA;NA;1299;NA;NA;NA;NA;NA;419174;NA;NA;NA;NA;NA;0.082864;NA;NA;NA;NA;NA;1.037;NA;categorical-20003-both_sexes-1140860834.tsv.bgz;categorical-20003-both_sexes-1140860834.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140860834.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140860834.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140860834.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140860834.tsv.bgz.tbi;538890966;1751990;05dad86ff95c2b02f99fdb2170f4457d;fe858c1a6bc117c1a0f97475de80a82a;CA_Medications_h0.08286_n1469;Medications;glyceryl trinitrate;CA_PRS_glyceryl_trinitrate_h0.08286_n1469;I20_I25;Angina/IHD
3;1140862086;87;87;507;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;salamol 100micrograms inhaler;UK Biobank Assessment Centre > Verbal interview > Medications;1476;902;574;EUR;1;NA;NA;NA;NA;1294;NA;NA;NA;NA;NA;419179;NA;NA;NA;NA;NA;0.12493;NA;NA;NA;NA;NA;1.0205;NA;categorical-20003-both_sexes-1140862086.tsv.bgz;categorical-20003-both_sexes-1140862086.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140862086.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140862086.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140862086.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140862086.tsv.bgz.tbi;538818749;1751765;0d67920bb93884ac87e9995e04f7c80e;26e66327ae24bd04729b344f65f5a4c8;CA_Medications_h0.12493_n1476;Medications;salamol 100micrograms inhaler;CA_PRS_salamol_100micrograms_inhaler_h0.12493_n1476;J45;Asthma
4;1140862168;88;88;510;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;bricanyl 250mcg inhaler;UK Biobank Assessment Centre > Verbal interview > Medications;1071;705;366;EUR;1;NA;NA;NA;NA;952;NA;NA;NA;NA;NA;419521;NA;NA;NA;NA;NA;0.11169;NA;NA;NA;NA;NA;0.99723;NA;categorical-20003-both_sexes-1140862168.tsv.bgz;categorical-20003-both_sexes-1140862168.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140862168.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140862168.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140862168.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140862168.tsv.bgz.tbi;536861903;1751827;eb4b2c9fabeb23c85b5e385d8cd42d70;645935e7064210e1c5abef655fe14c59;CA_Medications_h0.11169_n1071;Medications;bricanyl 250mcg inhaler;CA_PRS_bricanyl_250mcg_inhaler_h0.11169_n1071;J45;Asthma
5;1140862572;89;89;518;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;budesonide;UK Biobank Assessment Centre > Verbal interview > Medications;986;582;404;EUR;1;NA;NA;NA;NA;881;NA;NA;NA;NA;NA;419592;NA;NA;NA;NA;NA;0.13804;NA;NA;NA;NA;NA;1.017;NA;categorical-20003-both_sexes-1140862572.tsv.bgz;categorical-20003-both_sexes-1140862572.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140862572.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140862572.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140862572.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140862572.tsv.bgz.tbi;536010426;1751602;a1b31c08683e1b6c9f709c4f2eb6b0eb;c6ae551036f0650ed16a0f563dbf04bc;CA_Medications_h0.13804_n986;Medications;budesonide;CA_PRS_budesonide_h0.13804_n986;J45;Asthma
6;1140862628;90;90;520;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;piriton 4mg tablet;UK Biobank Assessment Centre > Verbal interview > Medications;730;455;275;EUR;1;NA;NA;NA;NA;628;NA;NA;NA;NA;NA;419845;NA;NA;NA;NA;NA;0.23498;NA;NA;NA;NA;NA;0.9963;NA;categorical-20003-both_sexes-1140862628.tsv.bgz;categorical-20003-both_sexes-1140862628.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140862628.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140862628.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140862628.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140862628.tsv.bgz.tbi;533174171;1751450;e45dcd7ef02d94f675424b69bd1ae80a;c192aee944e9e9b0119f0cca6abdbea4;CA_Medications_h0.23498_n730;Medications;piriton 4mg tablet;CA_PRS_piriton_4mg_tablet_h0.23498_n730;L50_T78;Urticaria/Hypersensitivity NOS
7;1140862776;91;91;523;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;clarityn 10mg tablet;UK Biobank Assessment Centre > Verbal interview > Medications;415;253;162;EUR;1;NA;NA;NA;NA;350;NA;NA;NA;NA;NA;420123;NA;NA;NA;NA;NA;0.068755;NA;NA;NA;NA;NA;0.9842;NA;categorical-20003-both_sexes-1140862776.tsv.bgz;categorical-20003-both_sexes-1140862776.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140862776.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140862776.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140862776.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140862776.tsv.bgz.tbi;525587444;1751347;9a26bfdf4aa6595e3e58cf19a21cf328;4654e218f03ef67922d0bb2e3c8f87c5;CA_Medications_h0.06875_n415;Medications;clarityn 10mg tablet;CA_PRS_clarityn_10mg_tablet_h0.06875_n415;L50_T78;Urticaria/Hypersensitivity NOS
8;1140863144;92;92;526;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;zopiclone;UK Biobank Assessment Centre > Verbal interview > Medications;1654;1013;641;EUR;1;NA;NA;NA;NA;1431;NA;NA;NA;NA;NA;419042;NA;NA;NA;NA;NA;0.10259;NA;NA;NA;NA;NA;1.0329;NA;categorical-20003-both_sexes-1140863144.tsv.bgz;categorical-20003-both_sexes-1140863144.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140863144.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140863144.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140863144.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140863144.tsv.bgz.tbi;540334807;1752102;d9d1fa15650d744f336dbb07e82d9df8;6d4934bde6c4f4a774d1df3cbfb16d2a;CA_Medications_h0.10259_n1654;Medications;zopiclone;CA_PRS_zopiclone_h0.10259_n1654;F51;Insomnia
9;1140863202;93;93;529;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;temazepam;UK Biobank Assessment Centre > Verbal interview > Medications;980;656;324;EUR;1;NA;NA;NA;NA;853;NA;NA;NA;NA;NA;419620;NA;NA;NA;NA;NA;0.087201;NA;NA;NA;NA;NA;0.99134;NA;categorical-20003-both_sexes-1140863202.tsv.bgz;categorical-20003-both_sexes-1140863202.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140863202.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140863202.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140863202.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140863202.tsv.bgz.tbi;535711621;1752131;e98c4d144f4ac10e87902d61f1bcd0ee;aceda2e99a9bf0f8ce1e2ca88bcf190b;CA_Medications_h0.08720_n980;Medications;temazepam;CA_PRS_temazepam_h0.08720_n980;F51;Insomnia
10;1140864286;94;94;533;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;flixotide 25micrograms inhaler;UK Biobank Assessment Centre > Verbal interview > Medications;797;489;308;EUR;1;NA;NA;NA;NA;696;NA;NA;NA;NA;NA;419777;NA;NA;NA;NA;NA;0.12734;NA;NA;NA;NA;NA;1.0246;NA;categorical-20003-both_sexes-1140864286.tsv.bgz;categorical-20003-both_sexes-1140864286.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140864286.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140864286.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140864286.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140864286.tsv.bgz.tbi;533848865;1751899;fad1583fdb70ff646f9d8c2bc20cdac0;bcd9864d4a0d6ceb082342733e3ba7f2;CA_Medications_h0.12734_n797;Medications;flixotide 25micrograms inhaler;CA_PRS_flixotide_25micrograms_inhaler_h0.12734_n797;J45;Asthma
