;phenocode;X;Unnamed..0;Unnamed..0.1;trait_type;pheno_sex;coding;modifier;description;description_more;coding_description;category;n_cases_full_cohort_both_sexes;n_cases_full_cohort_females;n_cases_full_cohort_males;pops;num_pops;n_cases_AFR;n_cases_AMR;n_cases_CSA;n_cases_EAS;n_cases_EUR;n_cases_MID;n_controls_AFR;n_controls_AMR;n_controls_CSA;n_controls_EAS;n_controls_EUR;n_controls_MID;saige_heritability_AFR;saige_heritability_AMR;saige_heritability_CSA;saige_heritability_EAS;saige_heritability_EUR;saige_heritability_MID;lambda_gc_AFR;lambda_gc_AMR;lambda_gc_CSA;lambda_gc_EAS;lambda_gc_EUR;lambda_gc_MID;filename;filename_tabix;aws_link;aws_link_tabix;wget;wget_tabix;size_in_bytes;size_in_bytes_tabix;md5_hex;md5_hex_tabix;phenocode_annotate_lst;category_manual;coding_description.1;new_pheno_annot;AB_ICD10
1;1001;888;888;5475;phecode;both_sexes;;;Foreign body injury;;;injuries & poisonings;1717;703;868;EUR;1;NA;NA;NA;NA;1464;NA;NA;NA;NA;NA;419067;NA;NA;NA;NA;NA;0.067163;NA;NA;NA;NA;NA;1.0227;NA;phecode-1001-both_sexes.tsv.bgz;phecode-1001-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-1001-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-1001-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-1001-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-1001-both_sexes.tsv.bgz.tbi;540357490;1752177;d78eb57dd14f409159a1858fad2f0beb;30ead52ed794d477b4ca45565fba1294;PH_Foreign_body_injury_h0.06716_n1717;injuries_poisonings;;PH_Foreign_body_injury_h0.06716_n1717;T14
2;1005;889;889;5478;phecode;both_sexes;;;Other symptoms;;;injuries & poisonings;1941;888;892;EUR;1;NA;NA;NA;NA;1684;NA;NA;NA;NA;NA;418847;NA;NA;NA;NA;NA;0.081172;NA;NA;NA;NA;NA;1.0106;NA;phecode-1005-both_sexes.tsv.bgz;phecode-1005-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-1005-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-1005-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-1005-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-1005-both_sexes.tsv.bgz.tbi;541255080;1751937;dacbe588c658dfa4a5aaaaf080060826;396d2ad8098e7a4e6bcf50a6a6170053;PH_Other_symptoms_h0.08117_n1941;injuries_poisonings;;PH_Other_symptoms_h0.08117_n1941;NA
3;1006;890;890;5479;phecode;both_sexes;;;Crushing injury;;;injuries & poisonings;749;172;510;EUR;1;NA;NA;NA;NA;666;NA;NA;NA;NA;NA;419865;NA;NA;NA;NA;NA;0.11038;NA;NA;NA;NA;NA;1.0174;NA;phecode-1006-both_sexes.tsv.bgz;phecode-1006-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-1006-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-1006-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-1006-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-1006-both_sexes.tsv.bgz.tbi;533089284;1751929;dfe9e71f363b878414c0d1b46eb2d478;d9d1f176a7225308d6378b71ca456b84;PH_Crushing_injury_h0.11038_n749;injuries_poisonings;;PH_Crushing_injury_h0.11038_n749;T04
4;1014;891;891;5486;phecode;both_sexes;;;Effects of heat, cold and air pressure;;;injuries & poisonings;391;165;192;EUR;1;NA;NA;NA;NA;341;NA;NA;NA;NA;NA;420190;NA;NA;NA;NA;NA;0.18118;NA;NA;NA;NA;NA;0.97605;NA;phecode-1014-both_sexes.tsv.bgz;phecode-1014-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-1014-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-1014-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-1014-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-1014-both_sexes.tsv.bgz.tbi;525491424;1751375;f7e516a4bf7c7d908cf54048ffc962c9;c1fba6730b9f6f91cedfc12803f6344f;PH_Effects_of_heat,_cold_and_air_pressure_h0.18118_n391;injuries_poisonings;;PH_Effects_of_heat,_cold_and_air_pressure_h0.18118_n391;T67
5;110;892;892;5489;phecode;both_sexes;;;Dermatophytosis / Dermatomycosis;;;infectious diseases;430;140;257;EUR;1;NA;NA;NA;NA;369;NA;NA;NA;NA;NA;416798;NA;NA;NA;NA;NA;0.22433;NA;NA;NA;NA;NA;0.97151;NA;phecode-110-both_sexes.tsv.bgz;phecode-110-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-110-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-110-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-110-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-110-both_sexes.tsv.bgz.tbi;526368467;1751087;bf1fd7a63e449f5e9ecc17f12db618e8;ae84dc3f5a9467a1639e8df247d069b4;PH_Dermatophytosis___Dermatomycosis_h0.22433_n430;infectious_diseases;;PH_Dermatophytosis__Dermatomycosis_h0.22433_n430;B35
6;110.1;893;893;5490;phecode;both_sexes;;;Dermatophytosis;;;infectious diseases;421;135;254;EUR;1;NA;NA;NA;NA;362;NA;NA;NA;NA;NA;416798;NA;NA;NA;NA;NA;0.12431;NA;NA;NA;NA;NA;1.0098;NA;phecode-110.1-both_sexes.tsv.bgz;phecode-110.1-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-110.1-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-110.1-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-110.1-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-110.1-both_sexes.tsv.bgz.tbi;526090914;1751235;7d36aa6cd3061963bca9812e9371937b;ac47113cf95aebab3321146128e611bb;PH_Dermatophytosis_h0.12431_n421;infectious_diseases;;PH_Dermatophytosis_h0.12431_n421;B35
7;110.12;894;894;5491;phecode;both_sexes;;;Althete's foot;;;infectious diseases;204;56;133;EUR;1;NA;NA;NA;NA;179;NA;NA;NA;NA;NA;416798;NA;NA;NA;NA;NA;0.21504;NA;NA;NA;NA;NA;0.98924;NA;phecode-110.12-both_sexes.tsv.bgz;phecode-110.12-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-110.12-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-110.12-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-110.12-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-110.12-both_sexes.tsv.bgz.tbi;514822536;1750427;c312152be01872ea490e544464c3280e;9d94820967ebab1438771fde9f2d982d;PH_Althete's_foot_h0.21504_n204;infectious_diseases;;PH_Althete's_foot_h0.21504_n204;B35
8;117;895;895;5494;phecode;both_sexes;;;Mycoses;;;infectious diseases;390;171;188;EUR;1;NA;NA;NA;NA;342;NA;NA;NA;NA;NA;416798;NA;NA;NA;NA;NA;0.12636;NA;NA;NA;NA;NA;0.9531;NA;phecode-117-both_sexes.tsv.bgz;phecode-117-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-117-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-117-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-117-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-117-both_sexes.tsv.bgz.tbi;525398875;1751374;e12a07c87aec33fc4840284b4318c871;d8f7d6733904f07fe51eef10a81bdbff;PH_Mycoses_h0.12636_n390;infectious_diseases;;PH_Mycoses_h0.12636_n390;B35
9;150;896;896;5506;phecode;both_sexes;;;Cancer of esophagus;;;neoplasms;1068;246;759;EUR;1;NA;NA;NA;NA;985;NA;NA;NA;NA;NA;400294;NA;NA;NA;NA;NA;0.14266;NA;NA;NA;NA;NA;1.0388;NA;phecode-150-both_sexes.tsv.bgz;phecode-150-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-150-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-150-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-150-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-150-both_sexes.tsv.bgz.tbi;536854492;1751497;d3ab2925e4db39a43568c335660fe3a9;0b8622db3004422ece3a51db7737a802;PH_Cancer_of_esophagus_h0.14266_n1068;neoplasms;;PH_Cancer_of_esophagus_h0.14266_n1068;C15
10;153.2;897;897;5509;phecode;both_sexes;;;Colon cancer;;;neoplasms;4345;1799;2219;EUR;1;NA;NA;NA;NA;3856;NA;NA;NA;NA;NA;386740;NA;NA;NA;NA;NA;0.09863;NA;NA;NA;NA;NA;1.0402;NA;phecode-153.2-both_sexes.tsv.bgz;phecode-153.2-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-153.2-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-153.2-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-153.2-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-153.2-both_sexes.tsv.bgz.tbi;545407726;1752099;660494546cf102de7c19dad18ef28339;0763e185dd4b97f360e4c5a039d1bb9e;PH_Colon_cancer_h0.09863_n4345;neoplasms;;PH_Colon_cancer_h0.09863_n4345;C18
