trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR,lambda_gc_MID,filename,filename_tabix,aws_link,aws_link_tabix,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,category_manual,new_annot,Added_new,ICD10_code,new_pheno_annot
categorical,20001,both_sexes,1003,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",skin cancer,UK Biobank Assessment Centre > Verbal interview > Medical conditions,1436,730,706,EUR,1,NA,NA,NA,NA,1328,NA,NA,NA,NA,NA,419145,NA,NA,NA,NA,NA,0.074316,NA,NA,NA,NA,NA,1.0488,NA,categorical-20001-both_sexes-1003.tsv.bgz,categorical-20001-both_sexes-1003.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1003.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1003.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1003.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1003.tsv.bgz.tbi,539851872,1751995,ff8fe7313cac08268a204cb3d912d404,cab334d758bae6b9fa551a91157f803e,CA_Medical_conditions_h0.07432_n1436,dermatologic,CA_skin_cancer_h007432_n1436_1328,0,T14,CA_skin_cancer_h0.07432_T14
categorical,20001,both_sexes,1022,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",colon cancer/sigmoid cancer,UK Biobank Assessment Centre > Verbal interview > Medical conditions,1520,664,856,EUR,1,NA,NA,NA,NA,1384,NA,NA,NA,NA,NA,419089,NA,NA,NA,NA,NA,0.069068,NA,NA,NA,NA,NA,1.029,NA,categorical-20001-both_sexes-1022.tsv.bgz,categorical-20001-both_sexes-1022.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1022.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1022.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1022.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1022.tsv.bgz.tbi,539722052,1751947,ca260deee1d7cd198d5e07fea499bf2e,0764cfb72a6ddd1eb20af72dd55b06ba,CA_Medical_conditions_h0.06907_n1520,neoplasms,CA_colon_cancer_sigmoid_cancer_h006907_n1520_1384,0,NA,CA_colon_cancer_sigmoid_cancer_h0.06907
categorical,20001,both_sexes,1032,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",brain cancer / primary malignant brain tumour,UK Biobank Assessment Centre > Verbal interview > Medical conditions,220,113,107,EUR,1,NA,NA,NA,NA,193,NA,NA,NA,NA,NA,420280,NA,NA,NA,NA,NA,0.087565,NA,NA,NA,NA,NA,0.98245,NA,categorical-20001-both_sexes-1032.tsv.bgz,categorical-20001-both_sexes-1032.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1032.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1032.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1032.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1032.tsv.bgz.tbi,515585281,1750724,fb727070d2a2b891744a8b4a6de290c4,acbb83137c64be424c0fd4909bea46db,CA_Medical_conditions_h0.08757_n220,neoplasms,CA_brain_cancer_primary_malignant_brain_tumour_h008757_n220_193,0,T04,CA_brain_cancer_primary_malignant_brain_tumour_h0.08757_T04
categorical,20001,both_sexes,1034,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",kidney/renal cell cancer,UK Biobank Assessment Centre > Verbal interview > Medical conditions,631,241,390,EUR,1,NA,NA,NA,NA,555,NA,NA,NA,NA,NA,419918,NA,NA,NA,NA,NA,0.12532,NA,NA,NA,NA,NA,0.99834,NA,categorical-20001-both_sexes-1034.tsv.bgz,categorical-20001-both_sexes-1034.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1034.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1034.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1034.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1034.tsv.bgz.tbi,531441178,1751438,08ba54efcb09e777139e1814d59312a8,0a2c6b6d2d2efce2393d5587492c5547,CA_Medical_conditions_h0.12532_n631,neoplasms,CA_kidney_renal_cell_cancer_h012532_n631_555,0,T67,CA_kidney_renal_cell_cancer_h0.12532_T67
categorical,20001,both_sexes,1035,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",bladder cancer,UK Biobank Assessment Centre > Verbal interview > Medical conditions,1118,299,819,EUR,1,NA,NA,NA,NA,996,NA,NA,NA,NA,NA,419477,NA,NA,NA,NA,NA,0.096818,NA,NA,NA,NA,NA,0.97826,NA,categorical-20001-both_sexes-1035.tsv.bgz,categorical-20001-both_sexes-1035.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1035.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1035.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1035.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1035.tsv.bgz.tbi,537105157,1751774,9c73fc8f2f31ba83b2c5e97b05c6151c,7161f2f926bfcbbe2bab06bbfeede613,CA_Medical_conditions_h0.09682_n1118,neoplasms,CA_bladder_cancer_h009682_n1118_996,0,B35,CA_bladder_cancer_h0.09682_B35
categorical,20001,both_sexes,1052,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",hodgkins lymphoma / hodgkins disease,UK Biobank Assessment Centre > Verbal interview > Medical conditions,450,207,243,EUR,1,NA,NA,NA,NA,396,NA,NA,NA,NA,NA,420077,NA,NA,NA,NA,NA,0.081169,NA,NA,NA,NA,NA,0.98907,NA,categorical-20001-both_sexes-1052.tsv.bgz,categorical-20001-both_sexes-1052.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1052.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1052.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1052.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1052.tsv.bgz.tbi,527333171,1751114,2298f0096ffeaadfdc104379aa327234,6b543ccd1f3ba8da7255e532a644cca4,CA_Medical_conditions_h0.08117_n450,neoplasms,CA_hodgkins_lymphoma_hodgkins_disease_h008117_n450_396,0,B35,CA_hodgkins_lymphoma_hodgkins_disease_h0.08117_B35
categorical,20001,both_sexes,1053,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",non-hodgkins lymphoma,UK Biobank Assessment Centre > Verbal interview > Medical conditions,900,398,502,EUR,1,NA,NA,NA,NA,797,NA,NA,NA,NA,NA,419676,NA,NA,NA,NA,NA,0.06384,NA,NA,NA,NA,NA,0.99522,NA,categorical-20001-both_sexes-1053.tsv.bgz,categorical-20001-both_sexes-1053.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1053.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1053.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1053.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1053.tsv.bgz.tbi,534918999,1751647,b670e2b7431f3484b785011fd3dc37bf,2239433238e265a7308b49ef5b857dcb,CA_Medical_conditions_h0.06384_n900,neoplasms,CA_non_hodgkins_lymphoma_h006384_n900_797,0,B35,CA_non_hodgkins_lymphoma_h0.06384_B35
categorical,20001,both_sexes,1055,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",chronic lymphocytic,UK Biobank Assessment Centre > Verbal interview > Medical conditions,303,112,191,EUR,1,NA,NA,NA,NA,277,NA,NA,NA,NA,NA,420196,NA,NA,NA,NA,NA,0.089818,NA,NA,NA,NA,NA,0.9886,NA,categorical-20001-both_sexes-1055.tsv.bgz,categorical-20001-both_sexes-1055.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1055.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1055.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1055.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1055.tsv.bgz.tbi,522744736,1750928,0d7eef9f4d3f39dd9f05425a9fa52814,951fc596af9880d115aea0fcb34f7f89,CA_Medical_conditions_h0.08982_n303,neoplasms,CA_chronic_lymphocytic_h008982_n303_277,0,B35,CA_chronic_lymphocytic_h0.08982_B35
categorical,20001,both_sexes,1059,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",malignant melanoma,UK Biobank Assessment Centre > Verbal interview > Medical conditions,3594,2145,1449,EUR,1,NA,NA,NA,NA,3322,NA,NA,NA,NA,NA,417151,NA,NA,NA,NA,NA,0.050005,NA,NA,NA,NA,NA,1.0427,NA,categorical-20001-both_sexes-1059.tsv.bgz,categorical-20001-both_sexes-1059.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1059.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1059.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1059.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1059.tsv.bgz.tbi,545359244,1752053,8974f29aec71d8d5563eca5246b414ed,7df8650f6dfb70824cf8bab12867afe2,CA_Medical_conditions_h0.05001_n3594,neoplasms,CA_malignant_melanoma_h005001_n3594_3322,0,C15,CA_malignant_melanoma_h0.05001_C15
categorical,20001,both_sexes,1060,,"Cancer code, self-reported","Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".",non-melanoma skin cancer,UK Biobank Assessment Centre > Verbal interview > Medical conditions,671,290,381,EUR,1,NA,NA,NA,NA,625,NA,NA,NA,NA,NA,419848,NA,NA,NA,NA,NA,0.13612,NA,NA,NA,NA,NA,1.0032,NA,categorical-20001-both_sexes-1060.tsv.bgz,categorical-20001-both_sexes-1060.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1060.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1060.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1060.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20001-both_sexes-1060.tsv.bgz.tbi,532878955,1751670,faa0707b6e39ec9029cb1f0deb1a93d9,2a8cbb846853c7f6b94165348975ee07,CA_Medical_conditions_h0.13612_n671,neoplasms,CA_non_melanoma_skin_cancer_h013612_n671_625,0,C18,CA_non_melanoma_skin_cancer_h0.13612_C18
