trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR,lambda_gc_MID,filename,filename_tabix,aws_link,aws_link_tabix,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot
categorical,41248,both_sexes,8002,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Other hospital: Non-NHS,Health-related outcomes > Hospital inpatient > Summary Administration,1279,610,669,EUR,1,,,,,1114,,,,,,410981,,,,,,0.050644,,,,,,1.026,,categorical-41248-both_sexes-8002.tsv.bgz,categorical-41248-both_sexes-8002.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-8002.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-8002.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-8002.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-8002.tsv.bgz.tbi,538384759,1751919,510b680cedf4f38effc8a3125a527bac,2776a57ff7b5c4f2034b99bd58419ca8,CA_Summary_Administration_h0.05064_n1279,,1,CA_Administration_h0.05064
prescriptions,finasteride,both_sexes,,,,,,"5-alpha reductase inhibitor,BPH,benign prostatic hyperplasia",4090,17,3691,EUR,1,,,,,3493,,,,,,417038,,,,,,0.052534,,,,,,1.0602,,prescriptions-finasteride-both_sexes.tsv.bgz,prescriptions-finasteride-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-finasteride-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-finasteride-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-finasteride-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-finasteride-both_sexes.tsv.bgz.tbi,544941351,1752235,72be85a5919df2246b1a2c53b7eebda8,4188e9e0099708990cebb1b7565344d4,PR_finasteride_h0.05253_n4090,,0,PR_finasteride_h0.05253
prescriptions,conjugated estrogen,both_sexes,,,,,,hormone,4317,3948,6,"CSA,EUR",2,,,61,,3787,,,,8815,,416744,,,,0,,0.053453,,,,1.0158,,1.0291,,prescriptions-conjugated_estrogen-both_sexes.tsv.bgz,prescriptions-conjugated_estrogen-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-conjugated_estrogen-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-conjugated_estrogen-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-conjugated_estrogen-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-conjugated_estrogen-both_sexes.tsv.bgz.tbi,1111667601,1932854,8f65da3ca6e5b47d3709c562687e8bd9,8d099994c1ce7340804a04e2246e2c42,PR_conjugated_estrogen_h0.05345_n4317,,0,PR_conjugated_estrogen_h0.05345
prescriptions,5-alpha reductase inhibitor|BPH|benign prostatic hyperplasia,both_sexes,,,,,,,4643,18,4177,"CSA,EUR",2,,,114,,3949,,,,8762,,416582,,,,0,,0.057084,,,,1.009,,1.0719,,prescriptions-5-alpha_reductase_inhibitor|BPH|benign_prostatic_hyperplasia-both_sexes.tsv.bgz,prescriptions-5-alpha_reductase_inhibitor|BPH|benign_prostatic_hyperplasia-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-5-alpha_reductase_inhibitor|BPH|benign_prostatic_hyperplasia-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-5-alpha_reductase_inhibitor|BPH|benign_prostatic_hyperplasia-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-5-alpha_reductase_inhibitor|BPH|benign_prostatic_hyperplasia-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-5-alpha_reductase_inhibitor|BPH|benign_prostatic_hyperplasia-both_sexes.tsv.bgz.tbi,1122183876,1933975,9a1e5ce4594b7ce040977aa42a1aa845,ee7727601807fdcde15a2032e09942c4,PR_5-alpha_reductase_inhibitor_BPH_benign_prostatic_hyperplasia_h0.05708_n4643,,0,PR_5-alpha_reductase_inhibitor_BPH_benign_prostatic_hyperplasia_h0.05708
prescriptions,PDE5 inhibitor|pulmonary hypertension|erectile dysfunction,both_sexes,,,,,,,14741,10,13384,"AFR,CSA,EUR,MID",4,179,,441,,12440,74,6457,,8435,,408091,1525,0.051371,,0.031475,,0.058603,0.11345,1.0389,,1.036,,1.0248,1.035,prescriptions-PDE5_inhibitor|pulmonary_hypertension|erectile_dysfunction-both_sexes.tsv.bgz,prescriptions-PDE5_inhibitor|pulmonary_hypertension|erectile_dysfunction-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-PDE5_inhibitor|pulmonary_hypertension|erectile_dysfunction-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-PDE5_inhibitor|pulmonary_hypertension|erectile_dysfunction-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-PDE5_inhibitor|pulmonary_hypertension|erectile_dysfunction-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-PDE5_inhibitor|pulmonary_hypertension|erectile_dysfunction-both_sexes.tsv.bgz.tbi,1930531216,2136964,103e2dacf73815544d42ec07ca6b83c3,80059b3fb4be24e97a7d0b051284a255,PR_PDE5_inhibitor_pulmonary_hypertension_erectile_dysfunction_h0.05860_n14741,,0,PR_PDE5_inhibitor_pulmonary_hypertension_erectile_dysfunction_h0.05860
categorical,41250,both_sexes,3000,,Methods of discharge from hospital (recoded),"This field is a summary of the distinct method of discharge codes a participant has had recorded in their hospital inpatient records. Method of discharge from hospital identifies how a patient was discharged - i.e. whether this was on clinical advice, the patient died in hospital or the patient discharged themselves.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISMETH_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Patient death,Health-related outcomes > Hospital inpatient > Summary Administration,7133,2818,4315,"AFR,CSA,EUR",3,73,,122,,6295,,6525,,8713,,412741,,0.022209,,0,,0.060185,,0.99731,,1.0316,,1.0107,,categorical-41250-both_sexes-3000.tsv.bgz,categorical-41250-both_sexes-3000.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41250-both_sexes-3000.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41250-both_sexes-3000.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41250-both_sexes-3000.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41250-both_sexes-3000.tsv.bgz.tbi,1610944244,2053698,bfbf976413f5f80ff78d69acd7b99af3,1eb4336bfab71acbab1d92184954a872,CA_Summary_Administration_h0.06019_n7133,,1,CA_Administration_h0.06019
categorical,41251,both_sexes,2000,,Sources of admission to hospital (recoded),"This field is a summary of the distinct source of admission codes a participant has had recorded in their hospital inpatient records. Source of admission identifies whether a patient came to the hospital from their usual place of residence or elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field ADMISORC_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Temporary place of residence,Health-related outcomes > Hospital inpatient > Summary Administration,3436,1744,1692,"AFR,EUR",2,55,,,,3051,,6563,,,,415466,,0.18304,,,,0.06229,,1.0443,,,,1.0217,,categorical-41251-both_sexes-2000.tsv.bgz,categorical-41251-both_sexes-2000.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41251-both_sexes-2000.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41251-both_sexes-2000.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41251-both_sexes-2000.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41251-both_sexes-2000.tsv.bgz.tbi,1263129155,1963283,27dbbe32a2479b706cf0755886aef5bf,f3db8bf398c0ed890330030cf80bbc08,CA_Summary_Administration_h0.06229_n3436,,1,CA_Administration_h0.06229
categorical,41229,both_sexes,5M7,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",SUTTON AND MERTON PCT,Health-related outcomes > Hospital inpatient > Summary Administration,4150,2315,1835,"AFR,CSA,EAS,EUR",4,203,,224,56,3033,,6433,,8652,2653,417498,,0.11634,,0.14516,0,0.063906,,0.98666,,1.0179,1.0078,1.0333,,categorical-41229-both_sexes-5M7.tsv.bgz,categorical-41229-both_sexes-5M7.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5M7.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5M7.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5M7.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5M7.tsv.bgz.tbi,1841177614,2121321,588266a86a2e035b03721502597e19fe,69cbf7c6984cc8bf50b33f9e7e41aae0,CA_Summary_Administration_h0.06391_n4150,,1,CA_Administration_h0.06391
prescriptions,estradiol/norethisterone acetate,both_sexes,,,,,,hormone,4372,3956,1,EUR,1,,,,,3831,,,,,,223670,,,,,,0.06474,,,,,,1.0166,,prescriptions-estradiol_norethisterone_acetate-both_sexes.tsv.bgz,prescriptions-estradiol_norethisterone_acetate-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-estradiol_norethisterone_acetate-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-estradiol_norethisterone_acetate-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-estradiol_norethisterone_acetate-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-estradiol_norethisterone_acetate-both_sexes.tsv.bgz.tbi,545495338,1752287,a83ffc3641eb2a6ba1cd3f1d07661773,0e69be012d2d18d5ceaa9f663ad62f4e,PR_estradiol_norethisterone_acetate_h0.06474_n4372,,0,PR_estradiol_norethisterone_acetate_h0.06474
categorical,41250,both_sexes,2001,,Methods of discharge from hospital (recoded),"This field is a summary of the distinct method of discharge codes a participant has had recorded in their hospital inpatient records. Method of discharge from hospital identifies how a patient was discharged - i.e. whether this was on clinical advice, the patient died in hospital or the patient discharged themselves.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISMETH_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.","Discharged without clinical advice/consent: Self, relative or advocate",Health-related outcomes > Hospital inpatient > Summary Administration,6019,2726,3293,"AFR,CSA,EUR",3,101,,123,,5142,,6496,,8710,,413851,,0.10964,,0.11189,,0.065255,,0.99366,,1.0016,,1.0385,,categorical-41250-both_sexes-2001.tsv.bgz,categorical-41250-both_sexes-2001.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41250-both_sexes-2001.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41250-both_sexes-2001.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41250-both_sexes-2001.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41250-both_sexes-2001.tsv.bgz.tbi,1620253958,2055016,6c9ccd37644bfb30c2bb0be029e94ec7,4030384529deaa3ece37c72ed7941441,CA_Summary_Administration_h0.06525_n6019,,1,CA_Administration_h0.06525
prescriptions,sildenafil,both_sexes,,,,,,"PDE5 inhibitor,pulmonary hypertension,erectile dysfunction",12142,10,11006,"AFR,CSA,EUR,MID",4,159,,379,,10211,61,6477,,8497,,410320,1538,0.055293,,0.044719,,0.065385,0.12936,1.0073,,1.0082,,1.0323,1.0505,prescriptions-sildenafil-both_sexes.tsv.bgz,prescriptions-sildenafil-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-sildenafil-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-sildenafil-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-sildenafil-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-sildenafil-both_sexes.tsv.bgz.tbi,1920488102,2135260,90428a0716dcb25aa14b1165ef730366,56c4fd79242dbe2d067a4c718dde7f28,PR_sildenafil_h0.06538_n12142,,0,PR_sildenafil_h0.06538
